template_name,split,record_id,num_chars,num_tokens,token_count_method,truncated,label_5
A0_answer_only,train,22fc3538594bd7f6426d96df9de31645e099e5df,1948,487,approx_char_div4,False,4
A0_answer_only,train,51e5f21cbcf3748b0c03279f49b625af32cd9b0b,1948,487,approx_char_div4,False,4
A0_answer_only,train,a946b20864b31d0ab6a9e953e7ef387da3543466,1852,463,approx_char_div4,False,4
A0_answer_only,train,605a39edf2ab4a11d8237e2d71382f0ab7c40100,1852,463,approx_char_div4,False,4
A0_answer_only,train,4abb5320624308bb074fe6932d7ef7c088b0dd41,1852,463,approx_char_div4,False,4
A0_answer_only,train,149f9441c4d8d11ab5ae76d131041560ce986240,1527,382,approx_char_div4,False,4
A0_answer_only,train,696ba193025f25d05c1b1f8dfad77c2ca28f12c4,2756,689,approx_char_div4,False,5
A0_answer_only,train,e78781ba44e7ccd99d93c2d2256495034a753f86,2756,689,approx_char_div4,False,4
A0_answer_only,train,579c7161d23186114c709867acce054ec73e0531,2756,689,approx_char_div4,False,4
A0_answer_only,train,f2dd13eea21d86717259e3f2ae658125c15e93a5,2639,660,approx_char_div4,False,5
A0_answer_only,train,24b68778c68222dd38199329a102b2c36aaca014,2639,660,approx_char_div4,False,5
A0_answer_only,train,7073c82cd9bf9cb523e855ec7578c31a064b29db,2639,660,approx_char_div4,False,5
A0_answer_only,train,595ad2f7159ac18f38534303b13a476abbbb4f51,2092,523,approx_char_div4,False,4
A0_answer_only,train,6ba1d9fdc2898cfa44f877e7724b403d08eaac96,2092,523,approx_char_div4,False,4
A0_answer_only,train,eb284da4d05b5674af9f47a017caa8f1d9ab9dcf,1434,359,approx_char_div4,False,4
A0_answer_only,train,0204872bcf4cd4b4d4937c12c2cd77f0171376ab,1434,359,approx_char_div4,False,5
A0_answer_only,train,bf19ea328afae37aa116eb7ffee1bea59330c821,2575,644,approx_char_div4,False,4
A0_answer_only,train,6884a393ed7c16124abf13a87b8d6772fd8c3a3c,3632,908,approx_char_div4,False,5
A0_answer_only,train,2bb0ae497f69277c49b9ebefcb272292a7756d55,3632,908,approx_char_div4,False,5
A0_answer_only,train,6261bb31188aaf41dd1973a877736897ef115e23,3168,792,approx_char_div4,False,5
A0_answer_only,train,38638126af3ed565fceb79316f2cd04de51d7af5,3414,854,approx_char_div4,False,5
A0_answer_only,train,df7098bda7679c74c37ca5b76bf75913c679fc03,3414,854,approx_char_div4,False,5
A0_answer_only,train,56482e327fad5d766b7b04796be08239f87c4c07,2096,524,approx_char_div4,False,5
A0_answer_only,train,7b950863725c3f977e3682aa14c3e210b705f035,3885,972,approx_char_div4,False,5
A0_answer_only,train,43303f67b98c41d3781f0318c9e023da0c1186fe,3646,912,approx_char_div4,False,4
A0_answer_only,train,5a7339369e02b0bf86476fd651b3f89bbde8699b,3365,842,approx_char_div4,False,5
A0_answer_only,train,d1ed7e4b2380d3d2591d6922034cd7e25ae6a810,1911,478,approx_char_div4,False,5
A0_answer_only,train,a37753ddd5309a428fbe97ca91367b9650d5cf41,1911,478,approx_char_div4,False,4
A0_answer_only,train,bfa79a451124e92a28ed189db1d126bbe01a9177,1911,478,approx_char_div4,False,5
A0_answer_only,train,7175a2ca5335b82598f8cf6ff459922c22013bf1,3521,881,approx_char_div4,False,4
A0_answer_only,train,7496c90a96f6033c4bc474146bb6b1c1fe5f5c21,3279,820,approx_char_div4,False,5
A0_answer_only,train,56882a55e9d1c5eb452992ad59af4de25e5ae6bb,3279,820,approx_char_div4,False,5
A0_answer_only,train,ac928704ee42f09cda816880d5004a8c95ed84e1,3279,820,approx_char_div4,False,5
A0_answer_only,train,2fb2e7b662bd63032405fac81132e33579f49cab,3280,820,approx_char_div4,False,5
A0_answer_only,train,6442e6a2ff5144c096a3c01cf2f4c3cf062c519f,3917,980,approx_char_div4,False,4
A0_answer_only,train,2344f7712481acb079590b1b052c58451eaafdc7,3917,980,approx_char_div4,False,4
