dataset_name,check_name,status,details
QD-S3_synthetic_pretrain_then_human_finetune,dev_human_only,PASS,
QD-S3_synthetic_pretrain_then_human_finetune,dev_row_count,PASS,1107
QD-S3_synthetic_pretrain_then_human_finetune,test_human_only,PASS,
QD-S3_synthetic_pretrain_then_human_finetune,test_row_count,PASS,1103
QD-S3_synthetic_pretrain_then_human_finetune,synthetic_rows_only_in_train,PASS,0
QD-S3_synthetic_pretrain_then_human_finetune,synthetic_label_provenance_pseudo_label,PASS,
QD-S3_synthetic_pretrain_then_human_finetune,human_label_provenance_human_score,PASS,
QD-S3_synthetic_pretrain_then_human_finetune,no_dev_test_question_overlap_for_synthetic_source,PASS,0
QD-S3_synthetic_pretrain_then_human_finetune,no_dev_test_triple_overlap_for_synthetic_source,PASS,0
QD-S3_synthetic_pretrain_then_human_finetune,no_duplicate_synthetic_id,PASS,0
QD-S3_synthetic_pretrain_then_human_finetune,no_duplicate_synthetic_answer_hash,PASS,0
QD-S3_synthetic_pretrain_then_human_finetune,required_training_fields_present,PASS,
QD-S3_synthetic_pretrain_then_human_finetune,a4_template_fields_present,PASS,
QD-S3_synthetic_pretrain_then_human_finetune,no_rationale_error_type_label_source_in_training_text,PASS,{}
