item,value,status,details
repo_root,/home/jpang/edubench-eval-exp2,PASS,
current_git_commit,4e95b0a4f1b41a0e7c43bbaf004e8561d136dc68,PASS,
output_dir,thesis_exp/outputs/exp12_monotonic_projection_map_oc,PASS,
local_run_root,thesis_exp/runs/exp12_monotonic_projection_map_oc,PASS,
local_checkpoint_dir_ignored,thesis_exp/runs/exp12_monotonic_projection_map_oc,PASS,thesis_exp/.gitignore ignores runs/
train_data_path,thesis_exp/outputs/exp06_question_disjoint_baselines/datasets/A4_question_answer_metric_rubric_metadata_question_seed42/train.jsonl,PASS,
dev_data_path,thesis_exp/outputs/exp06_question_disjoint_baselines/datasets/A4_question_answer_metric_rubric_metadata_question_seed42/dev.jsonl,PASS,
test_data_path,thesis_exp/outputs/exp06_question_disjoint_baselines/datasets/A4_question_answer_metric_rubric_metadata_question_seed42/test.jsonl,PASS,
QD_B1_checkpoint_path,thesis_exp/artifacts/exp06_question_disjoint_baselines/checkpoints/QD-B1_human_only_L1_weighted_ordinal/best,PASS,"requires state_dict.pt, exp05_head_metadata.json, tokenizer.json"
Exp11_outputs_exist,thesis_exp/outputs/exp11_checkpoint_selection_sensitivity/tables,PASS,
Exp11_selected_checkpoint_info_exists,mae_guard_p_gt_3_low_mean,PASS,Exp12A needs Exp11 selected epoch metadata.
model_name,/home/share/models/modelscope/Qwen/Qwen3-Reranker-0.6B,PASS,
seed_list,42,PASS,
epochs,3,PASS,
projection_method,pava,PASS,
projection_in_decode,True,PASS,
projection_in_pair_score,True,PASS,
projection_in_point_loss,True,PASS,
projection_in_anchor,True,PASS,
selection_rule,mae_guard_p_gt_3_low_mean,PASS,
selection_delta,0.005,PASS,
gamma,4.0,PASS,
lambda_point,1.0,PASS,
lambda_pair,0.05,PASS,
lambda_anchor,0.5,PASS,
lambda_mono,0.1,PASS,
eta_proj,0.1,PASS,
gpu_assignment,"{""42"": ""6""}",PASS,
formal_run_has_no_sample_caps,"{""MAX_DEV_PAIRS"": """", ""MAX_EVAL_SAMPLES"": """", ""MAX_TRAIN_PAIRS"": """", ""MAX_TRAIN_SAMPLES"": """"}",PASS,Formal Exp12 must not use sample or pair caps.
seed_42_Exp11_checkpoint_or_prediction_cache,True,PASS,Exp12A can regenerate raw probabilities from Exp11 local checkpoint on server.
