seed,left_variant,right_variant,effect,metric,difference_definition,point_difference,ci_low_95,ci_high_95,bootstrap_resamples,cluster_unit
42,v0_original_unweighted,v3_safe16_original_low_anchor,safe16_sensitivity,MAE_argmax,right_minus_left,-0.010840108401083959,-0.05102874483126584,0.0233252791493659,2000,question_key
42,v0_original_unweighted,v3_safe16_original_low_anchor,safe16_sensitivity,Exact_Match,right_minus_left,-0.008130081300813052,-0.0327284000322087,0.01868410660932125,2000,question_key
42,v0_original_unweighted,v3_safe16_original_low_anchor,safe16_sensitivity,Kendall_tau,right_minus_left,-0.0023510126190776637,-0.04251418228704,0.035548778843394135,2000,question_key
42,v0_original_unweighted,v3_safe16_original_low_anchor,safe16_sensitivity,Bin_Agreement,right_minus_left,0.009033423667569984,-0.004833703411885509,0.024650956195891,2000,question_key
42,v0_original_unweighted,v3_safe16_original_low_anchor,safe16_sensitivity,QWK,right_minus_left,0.059593761543074164,0.004259733783091727,0.11386572318141255,2000,question_key
42,v0_original_unweighted,v3_safe16_original_low_anchor,safe16_sensitivity,low_to_high_count,right_minus_left,-8.0,-23.0,0.0,2000,question_key
42,v0_original_unweighted,v3_safe16_original_low_anchor,safe16_sensitivity,low_to_high_rate,right_minus_left,-0.14035087719298245,-0.24370260299241644,0.0,2000,question_key
42,v0_original_unweighted,v3_safe16_original_low_anchor,safe16_sensitivity,high_to_low_count,right_minus_left,0.0,-3.0,3.0,2000,question_key
42,v0_original_unweighted,v3_safe16_original_low_anchor,safe16_sensitivity,high_to_low_rate,right_minus_left,0.0,-0.003218884120171674,0.0031283402378521463,2000,question_key
42,v0_original_unweighted,v3_safe16_original_low_anchor,safe16_sensitivity,label1_recall,right_minus_left,0.0,0.0,0.0,1997,question_key
42,v0_original_unweighted,v3_safe16_original_low_anchor,safe16_sensitivity,label2_recall,right_minus_left,0.15789473684210525,0.0,0.6923913043478256,2000,question_key
42,v0_original_unweighted,v3_safe16_original_low_anchor,safe16_sensitivity,label3_recall,right_minus_left,0.1142857142857143,0.03507259528130671,0.19588134222761266,2000,question_key
42,v0_original_unweighted,v3_safe16_original_low_anchor,safe16_sensitivity,label4_recall,right_minus_left,0.03856041131105392,-0.01134177809054654,0.09669416399901498,2000,question_key
42,v0_original_unweighted,v3_safe16_original_low_anchor,safe16_sensitivity,label5_recall,right_minus_left,-0.07553956834532372,-0.10994219228670947,-0.04400843655122383,2000,question_key
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,safe16_sensitivity,MAE_argmax,right_minus_left,-0.020776874435410986,-0.05331536332232137,0.008271317599620517,2000,question_key
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,safe16_sensitivity,Exact_Match,right_minus_left,0.006323396567298967,-0.015308782171073287,0.02941176470588236,2000,question_key
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,safe16_sensitivity,Kendall_tau,right_minus_left,0.02206431526291519,-0.012514970279922339,0.054432400371400715,2000,question_key
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,safe16_sensitivity,Bin_Agreement,right_minus_left,0.010840108401083959,-0.0009083896333345887,0.02506488085059296,2000,question_key
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,safe16_sensitivity,QWK,right_minus_left,0.057921850682532416,0.00804101553282204,0.11346461984419964,2000,question_key
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,safe16_sensitivity,low_to_high_count,right_minus_left,-8.0,-23.0,0.0,2000,question_key
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,safe16_sensitivity,low_to_high_rate,right_minus_left,-0.14035087719298245,-0.24370260299241644,0.0,2000,question_key
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,safe16_sensitivity,high_to_low_count,right_minus_left,1.0,0.0,3.0,2000,question_key
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,safe16_sensitivity,high_to_low_rate,right_minus_left,0.0010582010582010583,0.0,0.0034212429257372374,2000,question_key
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,safe16_sensitivity,label1_recall,right_minus_left,0.0,0.0,0.0,1997,question_key
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,safe16_sensitivity,label2_recall,right_minus_left,0.15789473684210525,0.0,0.6923913043478256,2000,question_key
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,safe16_sensitivity,label3_recall,right_minus_left,0.047619047619047616,-0.0294264705882353,0.1340408896096373,2000,question_key
42,v1_original_label_matched_weight,v3_safe16_original_low_anchor,safe16_sensitivity,label4_recall,right_minus_left,0.01799485861182515,-0.019806930693069325,0.05235884881390993,2000,question_key
