sample_id,sample_id_hash,question_key_hash,original_label_5,silver_hard_score,silver_score_range,silver_confidence,soft_target_5,sample_weight,language,metric_group,subject,scenario,reference_status
49318c4f0d2ec2244ac543b0db468afaf9a85d1b,58e6701df99f3e4922755305b046ce5fed176aa447e7cacaf0ad62d4ac6afe8d,b313ecaaef4e303a0a8323fcb6da493c8aeb676b,1,5,"[5,5]",high,"[0.0,0.0,0.0,0.0,1.0]",0.7682333873581848,en,Factual & Reasoning Accuracy,Basic Medicine,Automatic Grading,model_review_silver_not_human_gold
fa439d530a93932f4cf8a09f743d80c44e18e0b8,76d386a440d3749bd1c6d4f573102720e611354ba826cc91d5b8b3e4fca5d57c,c6a1251090395b0d1ff5e7b04eccf7a396a0b480,2,5,"[5,5]",high,"[0.0,0.0,0.0,0.0,1.0]",0.7682333873581848,en,Scenario Adaptability,Mathematics,Question Answering,model_review_silver_not_human_gold
6a65ddfebb3698d3eb20f814a761580fa2f8be48,0d325d62b18177455149c9f8b7bb68e7c7040e0a9e600314274571f4f071beae,c6a1251090395b0d1ff5e7b04eccf7a396a0b480,2,5,"[5,5]",high,"[0.0,0.0,0.0,0.0,1.0]",0.7682333873581848,en,Scenario Adaptability,Mathematics,Question Answering,model_review_silver_not_human_gold
ffbcfd835bce6f2c49e6ba425055824d75949505,b2e7cf8e53fcb07ea70c06c64a8488d8f2d24ce4951addbda2b1ffdb61589f58,ec004d436abfece8353b0e104ce506b3f64c0d53,2,5,"[5,5]",high,"[0.0,0.0,0.0,0.0,1.0]",0.7682333873581848,en,Factual & Reasoning Accuracy,Computer Science,Question Answering,model_review_silver_not_human_gold
6cc46157fcf2aa5b87cd72293be48481a7e5dacc,535f6f162b2f41e340eedb12b2a728c623e6aa29cb77c2966dbe80cfe4d3152d,0cf3a55a64ed25b093e8f78a69cf93d9528cb3bd,2,4,"[4,4]",high,"[0.0,0.0,0.0,1.0,0.0]",0.7682333873581848,en,Scenario Adaptability,Theoretical Economics,Automatic Grading,model_review_silver_not_human_gold
d669073d100a7f3755e1ce0ec3bd63e9b6c54e34,a667f21242a9621e4ce8f2ec0f2babe7984239a16eaadf4bbcbdfd307dde0af1,0cf3a55a64ed25b093e8f78a69cf93d9528cb3bd,2,5,"[5,5]",high,"[0.0,0.0,0.0,0.0,1.0]",0.7682333873581848,en,Factual & Reasoning Accuracy,Theoretical Economics,Automatic Grading,model_review_silver_not_human_gold
7a5ae2c79851e40cccaf47deb5d4953023576ec9,fb8997b4a2d472919db490033ed11449d4fcb250a1d5c443bb1ce281499ac31d,bb529105cedb7fd54cb1b1075c2ef48560d2c1d3,2,4,"[4,4]",medium,"[0.0,0.0,0.0,1.0,0.0]",0.5121555915721232,en,Scenario Adaptability,Business Administration,Idea Provision,model_review_silver_not_human_gold
a5b76b94f849ef3c81364bfd2a49a16777a2d7fa,f61c973de1b8f9b2472d15c187a5593f244d5eea6bfd3c6f19aa7368ace9d0e1,bb529105cedb7fd54cb1b1075c2ef48560d2c1d3,2,4,"[4,4]",medium,"[0.0,0.0,0.0,1.0,0.0]",0.5121555915721232,en,Factual & Reasoning Accuracy,Business Administration,Idea Provision,model_review_silver_not_human_gold
61725aede8ed2f1879dae36d9b4f8a751b64787b,b76daa4c9642bd9f701e37ea5c258286f3b9b4316b4d59792fe835e06b84cb0e,bb529105cedb7fd54cb1b1075c2ef48560d2c1d3,2,4,"[4,4]",medium,"[0.0,0.0,0.0,1.0,0.0]",0.5121555915721232,en,Scenario Adaptability,Business Administration,Idea Provision,model_review_silver_not_human_gold
26347fdbe0a04b7bfbc0e5079be670bb041a82f8,72c76f07c46dce3d1355e5a5addec0d0c14b681b60eac9692de318a5f9b13a25,da382ab80b1b373ebae1694f9d06d8d75b226530,2,4,"[4,4]",medium,"[0.0,0.0,0.0,1.0,0.0]",0.5121555915721232,en,Scenario Adaptability,Crop Science,Idea Provision,model_review_silver_not_human_gold
