sample_id,question_key,question_group_id,metric,language,subject,gold_label,answer_chars,answer_words,failure_mode_auto,hidden_failure_candidate_type,recommended_training_use,confidence_weight,d2_prediction_count,d2_model_high_count,d2_evidence_risk_count,d2_model_high_adapters,d2_evidence_risk_adapters,prompt_hash
26347fdbe0a04b7bfbc0e5079be670bb041a82f8,2c3431500658778ea0788f7745c59f0b024746a9,2c3431500658778ea0788f7745c59f0b024746a9,Scenario Element Integration,en,Crop Science,2,1665,195,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,3fa222afab4ae1351c93d8f9eb62fd532ea4085d
b51fe8038ded98685f2c18b27990ce26056dfc17,b8341c9d33cad1b053ba0bafa03c407e4791c4da,b8341c9d33cad1b053ba0bafa03c407e4791c4da,Scenario Element Integration,en,Business Administration,2,1082,164,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,179d0f3e9c60826a2e3d4699e82ca34f95abd8f1
1b5df375ab0c6d48d21dc9a88fd408b29454ff67,b8341c9d33cad1b053ba0bafa03c407e4791c4da,b8341c9d33cad1b053ba0bafa03c407e4791c4da,Higher-Order Thinking & Skill Development,en,Business Administration,2,1082,164,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,035be24cdca419071f7b16b4bcc981b07797ca50
7a5ae2c79851e40cccaf47deb5d4953023576ec9,b8341c9d33cad1b053ba0bafa03c407e4791c4da,b8341c9d33cad1b053ba0bafa03c407e4791c4da,Scenario Element Integration,en,Business Administration,2,1060,156,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,25c37705c2a48b4708be146936bd8eb7ebb6fa44
78a2f1f17b59206fae3cdedb6b11a9fef084b670,b8341c9d33cad1b053ba0bafa03c407e4791c4da,b8341c9d33cad1b053ba0bafa03c407e4791c4da,Higher-Order Thinking & Skill Development,en,Business Administration,2,1060,156,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,056ca164ed4e82c8d50b29ea612850e46684a02c
f51251a778d6f6601796be0ed017d6173d91d44b,7d31b9d0eef59066afff9ba848a799e2668bbed2,7d31b9d0eef59066afff9ba848a799e2668bbed2,Higher-Order Thinking & Skill Development,en,Basic Medicine,2,1015,136,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,d170fd02149eab10d6f32bbc36b84b7a848d846f
d669073d100a7f3755e1ce0ec3bd63e9b6c54e34,0e09c1d8b75a16ca2c50f1bccf73028ae1d691ea,0e09c1d8b75a16ca2c50f1bccf73028ae1d691ea,Error Identification & Correction Precision,en,Theoretical Economics,2,969,127,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,f47ff99ce7db749dc99eb48d6c4a1400834f825a
7dfd63e7375e5474e2df047ebe282cf4ba8661b8,5190426b37344a5dd70adf4894aacc1fb868cdff,5190426b37344a5dd70adf4894aacc1fb868cdff,Reasoning Process Rigor,en,Basic Medicine,1,865,133,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,985265736ffa1ef79de65965c78b4d92ec682a8d
b98b50d95782304d48d08ccbe6eda435ec3f66c7,b8341c9d33cad1b053ba0bafa03c407e4791c4da,b8341c9d33cad1b053ba0bafa03c407e4791c4da,Scenario Element Integration,en,Business Administration,2,846,125,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,09802e9ffd558226901f477ea1f53dfb04d93314
a5b76b94f849ef3c81364bfd2a49a16777a2d7fa,b8341c9d33cad1b053ba0bafa03c407e4791c4da,b8341c9d33cad1b053ba0bafa03c407e4791c4da,Reasoning Process Rigor,en,Business Administration,2,846,125,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,3eddc674a68f5db7f277a536fbfb8c64acbab42b
13af8e6896f2be6cf223e45bf4f1652fe39fe7d3,b8341c9d33cad1b053ba0bafa03c407e4791c4da,b8341c9d33cad1b053ba0bafa03c407e4791c4da,Higher-Order Thinking & Skill Development,en,Business Administration,2,846,125,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,f4ced55116935a9d7d731be5f2dfc89429252924
1905d9dcdf2880df39d9d380624436abd892da5a,ffed2f3bb93a32c1cf81521951774f896b3283f4,ffed2f3bb93a32c1cf81521951774f896b3283f4,Scenario Element Integration,en,Biology,2,762,117,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,edd5b3f96414d47f24d0b97ae95430558dd06d82
107a460ba82cd473b9a08a5d43257a7f1d336874,0e09c1d8b75a16ca2c50f1bccf73028ae1d691ea,0e09c1d8b75a16ca2c50f1bccf73028ae1d691ea,Error Identification & Correction Precision,en,Theoretical Economics,2,744,107,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,1cdade8828891d49b81c8d203d65009b811de708
25a37166756d804397ce1540111f9b80f5bd477b,c367d1e3134b022584248f014a7b59640f1df7fb,c367d1e3134b022584248f014a7b59640f1df7fb,Higher-Order Thinking & Skill Development,zh,Clinical Medicine,2,738,58,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,e018f6eb974e2d07385eb64899d853684e494109
ef7be96d3b20f985cb175937b67d094d4d204dcc,ffed2f3bb93a32c1cf81521951774f896b3283f4,ffed2f3bb93a32c1cf81521951774f896b3283f4,Scenario Element Integration,en,Biology,2,623,93,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,20320e7b761dd0fd1535aa530e812bd6718e9580
7b2343c0fac6f79059007d116f746842fe6a6637,5190426b37344a5dd70adf4894aacc1fb868cdff,5190426b37344a5dd70adf4894aacc1fb868cdff,Reasoning Process Rigor,en,Basic Medicine,1,578,88,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,bfbb49bad40af78b445f342f2784dacb80ea56c1
