template_name,split,label_5,count,pct_within_split
A0_answer_only,train,1,24,0.00904295403165034
A0_answer_only,train,2,52,0.019593067068575734
A0_answer_only,train,3,251,0.09457422758100979
A0_answer_only,train,4,946,0.35644310474755087
A0_answer_only,train,5,1381,0.5203466465712132
A0_answer_only,dev,1,6,0.009036144578313253
A0_answer_only,dev,2,14,0.02108433734939759
A0_answer_only,dev,3,62,0.09337349397590361
A0_answer_only,dev,4,237,0.3569277108433735
A0_answer_only,dev,5,345,0.5195783132530121
A0_answer_only,test,1,56,0.025247971145175834
A0_answer_only,test,2,47,0.021190261496844005
A0_answer_only,test,3,194,0.08746618575293057
A0_answer_only,test,4,720,0.3246167718665464
A0_answer_only,test,5,1201,0.5414788097385032
A1_question_answer,train,1,24,0.00904295403165034
A1_question_answer,train,2,52,0.019593067068575734
A1_question_answer,train,3,251,0.09457422758100979
A1_question_answer,train,4,946,0.35644310474755087
A1_question_answer,train,5,1381,0.5203466465712132
A1_question_answer,dev,1,6,0.009036144578313253
A1_question_answer,dev,2,14,0.02108433734939759
A1_question_answer,dev,3,62,0.09337349397590361
A1_question_answer,dev,4,237,0.3569277108433735
A1_question_answer,dev,5,345,0.5195783132530121
A1_question_answer,test,1,56,0.025247971145175834
A1_question_answer,test,2,47,0.021190261496844005
A1_question_answer,test,3,194,0.08746618575293057
A1_question_answer,test,4,720,0.3246167718665464
A1_question_answer,test,5,1201,0.5414788097385032
A2_question_answer_metric,train,1,24,0.00904295403165034
A2_question_answer_metric,train,2,52,0.019593067068575734
A2_question_answer_metric,train,3,251,0.09457422758100979
A2_question_answer_metric,train,4,946,0.35644310474755087
A2_question_answer_metric,train,5,1381,0.5203466465712132
A2_question_answer_metric,dev,1,6,0.009036144578313253
A2_question_answer_metric,dev,2,14,0.02108433734939759
A2_question_answer_metric,dev,3,62,0.09337349397590361
A2_question_answer_metric,dev,4,237,0.3569277108433735
A2_question_answer_metric,dev,5,345,0.5195783132530121
A2_question_answer_metric,test,1,56,0.025247971145175834
A2_question_answer_metric,test,2,47,0.021190261496844005
A2_question_answer_metric,test,3,194,0.08746618575293057
A2_question_answer_metric,test,4,720,0.3246167718665464
A2_question_answer_metric,test,5,1201,0.5414788097385032
A3_question_answer_metric_rubric,train,1,24,0.00904295403165034
A3_question_answer_metric_rubric,train,2,52,0.019593067068575734
A3_question_answer_metric_rubric,train,3,251,0.09457422758100979
A3_question_answer_metric_rubric,train,4,946,0.35644310474755087
A3_question_answer_metric_rubric,train,5,1381,0.5203466465712132
A3_question_answer_metric_rubric,dev,1,6,0.009036144578313253
A3_question_answer_metric_rubric,dev,2,14,0.02108433734939759
A3_question_answer_metric_rubric,dev,3,62,0.09337349397590361
A3_question_answer_metric_rubric,dev,4,237,0.3569277108433735
A3_question_answer_metric_rubric,dev,5,345,0.5195783132530121
A3_question_answer_metric_rubric,test,1,56,0.025247971145175834
A3_question_answer_metric_rubric,test,2,47,0.021190261496844005
A3_question_answer_metric_rubric,test,3,194,0.08746618575293057
A3_question_answer_metric_rubric,test,4,720,0.3246167718665464
A3_question_answer_metric_rubric,test,5,1201,0.5414788097385032
A4_question_answer_metric_rubric_metadata,train,1,24,0.00904295403165034
A4_question_answer_metric_rubric_metadata,train,2,52,0.019593067068575734
A4_question_answer_metric_rubric_metadata,train,3,251,0.09457422758100979
A4_question_answer_metric_rubric_metadata,train,4,946,0.35644310474755087
A4_question_answer_metric_rubric_metadata,train,5,1381,0.5203466465712132
A4_question_answer_metric_rubric_metadata,dev,1,6,0.009036144578313253
A4_question_answer_metric_rubric_metadata,dev,2,14,0.02108433734939759
A4_question_answer_metric_rubric_metadata,dev,3,62,0.09337349397590361
A4_question_answer_metric_rubric_metadata,dev,4,237,0.3569277108433735
A4_question_answer_metric_rubric_metadata,dev,5,345,0.5195783132530121
A4_question_answer_metric_rubric_metadata,test,1,56,0.025247971145175834
A4_question_answer_metric_rubric_metadata,test,2,47,0.021190261496844005
A4_question_answer_metric_rubric_metadata,test,3,194,0.08746618575293057
A4_question_answer_metric_rubric_metadata,test,4,720,0.3246167718665464
A4_question_answer_metric_rubric_metadata,test,5,1201,0.5414788097385032
