template_name,ablation_id,status,split,label_5,n,accuracy,MAE,signed_bias,mean_pred_label,mean_pred_expected,overestimation_rate,underestimation_rate
A0_answer_only,A0,completed,dev,1,6,0.16666666666666666,2.7777777777777772,2.7777777777777772,3.8333333333333335,3.546474385385712,0.8333333333333334,0.0
A0_answer_only,A0,completed,dev,2,14,0.0,2.476190476190476,2.476190476190476,4.571428571428571,4.079531676693088,1.0,0.0
A0_answer_only,A0,completed,dev,3,62,0.08064516129032258,1.0860215053763442,1.053763440860215,4.225806451612903,4.018061234753752,0.9193548387096774,0.0
A0_answer_only,A0,completed,dev,4,237,0.5991561181434599,0.4711673699015472,0.2630098452883265,4.383966244725738,4.197082972389922,0.3924050632911392,0.008438818565400843
A0_answer_only,A0,completed,dev,5,345,0.8115942028985508,0.2695652173913043,-0.05314009661835762,4.8,4.5436579781809625,0.0,0.18840579710144928
A0_answer_only,A0,completed,test,1,56,0.0,3.875,3.875,4.875,4.278103884035123,1.0,0.0
A0_answer_only,A0,completed,test,2,47,0.2765957446808511,1.8510638297872344,1.822695035460993,3.9361702127659575,3.9165500809545035,0.723404255319149,0.0
A0_answer_only,A0,completed,test,3,194,0.02577319587628866,1.3951890034364258,1.3436426116838487,4.469072164948454,4.184853176561446,0.9536082474226805,0.020618556701030927
A0_answer_only,A0,completed,test,4,720,0.6,0.4777777777777778,0.2685185185185187,4.370833333333334,4.1974431774347165,0.3861111111111111,0.013888888888888888
A0_answer_only,A0,completed,test,5,1201,0.8567860116569526,0.23397169025811815,0.005828476269775057,4.855120732722731,4.55134013327816,0.0,0.14321398834304747
A1_question_answer,A1,completed,dev,1,6,0.16666666666666666,2.7777777777777772,2.7777777777777772,3.8333333333333335,3.403227430419065,0.8333333333333334,0.0
A1_question_answer,A1,completed,dev,2,14,0.07142857142857142,1.9047619047619047,1.9047619047619047,4.0,3.9212690209891923,0.9285714285714286,0.0
A1_question_answer,A1,completed,dev,3,62,0.24193548387096775,0.9892473118279569,0.8924731182795695,4.064516129032258,3.9637652765494047,0.7580645161290323,0.0
A1_question_answer,A1,completed,dev,4,237,0.5738396624472574,0.49367088607594944,0.2208157524613223,4.341772151898734,4.225759568202339,0.38396624472573837,0.04219409282700422
A1_question_answer,A1,completed,dev,5,345,0.7913043478260869,0.3101449275362318,-0.09951690821256051,4.753623188405797,4.585204242822355,0.0,0.20869565217391303
A1_question_answer,A1,completed,test,1,56,0.0,3.6607142857142856,3.6607142857142856,4.660714285714286,4.402982806811841,1.0,0.0
A1_question_answer,A1,completed,test,2,47,0.23404255319148937,1.5815602836879434,1.5673758865248228,3.6808510638297873,3.592536858593837,0.7659574468085106,0.0
A1_question_answer,A1,completed,test,3,194,0.14432989690721648,1.2508591065292094,1.1271477663230238,4.252577319587629,4.102550009584447,0.8298969072164949,0.02577319587628866
A1_question_answer,A1,completed,test,4,720,0.5708333333333333,0.49027777777777776,0.2226851851851854,4.325,4.212892985090962,0.37777777777777777,0.05138888888888889
A1_question_answer,A1,completed,test,5,1201,0.8243130724396336,0.26977518734388,-0.03497085761865126,4.814321398834305,4.628320890538546,0.0,0.17568692756036636
A2_question_answer_metric,A2,reused_exp02,dev,1,6,0.5,1.277777777777778,1.277777777777778,2.3333333333333335,2.538101858847464,0.5,0.0
A2_question_answer_metric,A2,reused_exp02,dev,2,14,0.07142857142857142,2.0238095238095237,1.976190476190476,4.071428571428571,3.8068638227227245,0.9285714285714286,0.0
A2_question_answer_metric,A2,reused_exp02,dev,3,62,0.1935483870967742,0.876344086021505,0.7795698924731179,3.9516129032258065,3.8310779822936785,0.8064516129032258,0.0
A2_question_answer_metric,A2,reused_exp02,dev,4,237,0.7426160337552743,0.37271448663853723,0.0351617440225037,4.156118143459915,4.089434963980784,0.20675105485232068,0.05063291139240506
A2_question_answer_metric,A2,reused_exp02,dev,5,345,0.8115942028985508,0.24734299516908206,-0.04444444444444458,4.808695652173913,4.6778345273867945,0.0,0.18840579710144928
A2_question_answer_metric,A2,reused_exp02,test,1,56,0.17857142857142858,2.6964285714285716,2.6964285714285716,3.6964285714285716,3.520571582235529,0.8214285714285714,0.0
A2_question_answer_metric,A2,reused_exp02,test,2,47,0.2553191489361702,1.1631205673758864,1.1205673758865247,3.234042553191489,3.13808347596886,0.7446808510638298,0.0
A2_question_answer_metric,A2,reused_exp02,test,3,194,0.2268041237113402,0.9003436426116838,0.7869415807560135,3.9123711340206184,3.8087229120207957,0.7628865979381443,0.010309278350515464
A2_question_answer_metric,A2,reused_exp02,test,4,720,0.8083333333333333,0.3361111111111111,0.021296296296296483,4.123611111111111,4.090732258549443,0.15833333333333333,0.03333333333333333
A2_question_answer_metric,A2,reused_exp02,test,5,1201,0.8084929225645295,0.2645018040521787,-0.049125728559533864,4.800166527893422,4.69501031060347,0.0,0.19150707743547044
A3_question_answer_metric_rubric,A3,completed,dev,1,6,0.3333333333333333,1.6111111111111114,1.6111111111111114,2.6666666666666665,2.690593644976616,0.6666666666666666,0.0
A3_question_answer_metric_rubric,A3,completed,dev,2,14,0.14285714285714285,1.5476190476190474,1.5476190476190474,3.642857142857143,3.557519551094239,0.8571428571428571,0.0
A3_question_answer_metric_rubric,A3,completed,dev,3,62,0.2903225806451613,0.8118279569892473,0.6182795698924728,3.7903225806451615,3.7077671810335056,0.6935483870967742,0.016129032258064516
A3_question_answer_metric_rubric,A3,completed,dev,4,237,0.7805907172995781,0.3614627285513361,-0.02390998593530221,4.09704641350211,4.000576177922189,0.16033755274261605,0.05907172995780591
A3_question_answer_metric_rubric,A3,completed,dev,5,345,0.8057971014492754,0.2685990338164251,-0.06183574879227066,4.791304347826087,4.645071779155302,0.0,0.19420289855072465
A3_question_answer_metric_rubric,A3,completed,test,1,56,0.08928571428571429,2.517857142857143,2.517857142857143,3.517857142857143,3.3650880172109674,0.9107142857142857,0.0
A3_question_answer_metric_rubric,A3,completed,test,2,47,0.3617021276595745,0.9148936170212765,0.8865248226950353,3.0,3.058911921673187,0.6382978723404256,0.0
A3_question_answer_metric_rubric,A3,completed,test,3,194,0.42783505154639173,0.7147766323024054,0.48797250859106517,3.61340206185567,3.575564546230317,0.5309278350515464,0.041237113402061855
