dataset_variant,dataset_name,sample_id,question_key,risk_type,gold_label,rejected_score,chosen_score,chosen_schema,chosen_reason_present,chosen_reason_preview,chosen_reason_hash,reason_match_status,reason_label_consistent,reason_scores,reason_source_files,reason_eval_ids,rejected_payload,rejected_source,rejected_source_count,rejected_origin,message_hash,chosen_hash,rejected_hash
r7a_score_only_reason_covered,edubench_r7a_score_only_reason_covered_real_dpo_train,01cc5ff057b6de65aa7fc51623308f2c778c9ee7,fe8355c92fdedf86b46847c533ca17f018bc7679,high_to_low_real_model_error,5,1,5,score_only,False,,da39a3ee5e6b4b0d3255bfef95601890afd80709,label_consistent_metric_model_reason_recovered,True,5,5_merge_human_metric_en.jsonl,5_human_1|5_human_2|5_human_3,"{""score"":1}",qwen3_4b_r0a_direct|deepseek-v3,2,real_model_score_output,cc7b102ef4c3ab6108a8f42534e3b5df3386ad84,beb005be4da3a0130f32c06ff634b762c7be9c49,ea8d124a94959c34a5a3d3f5bbc8956a939cface
r7a_score_only_reason_covered,edubench_r7a_score_only_reason_covered_real_dpo_train,069efce9a099285d7ca6da6c14beb40c0b846992,04c137c5aec1fd5e3fc9bc4897bc62409a8e32e7,high_to_low_real_model_error,5,2,5,score_only,False,,da39a3ee5e6b4b0d3255bfef95601890afd80709,label_consistent_metric_model_reason_recovered,True,5,5_merge_human_metric_zh.jsonl,5_human_1|5_human_2,"{""score"":2}",deepseek-r1,1,real_model_score_output,0530c2c2f5ad1609ef68e9934bb8b459aaa7e033,beb005be4da3a0130f32c06ff634b762c7be9c49,e7e7fff9de6aaf514989c81720426ef63d68ca0f
r7a_score_only_reason_covered,edubench_r7a_score_only_reason_covered_real_dpo_train,078a7ec67d125c2319c7f26a2b09f6930ba294cb,0e09c1d8b75a16ca2c50f1bccf73028ae1d691ea,high_to_low_real_model_error,4,2,4,score_only,False,,da39a3ee5e6b4b0d3255bfef95601890afd80709,label_consistent_metric_model_reason_recovered,True,4,5_merge_human_metric_en.jsonl,5_human_1|5_human_2,"{""score"":2}",deepseek-r1,1,real_model_score_output,6a708ec978dfa402df824ac634f87132701f71af,bf2355b31a3942f09ea148ff7e236fb0f09a8390,e7e7fff9de6aaf514989c81720426ef63d68ca0f
r7a_score_only_reason_covered,edubench_r7a_score_only_reason_covered_real_dpo_train,08e17a89ec6bdaf01401e8273bb48c4a9389829d,7f281c5d001646c5cd068f561302e9f2c1b03a4e,high_to_low_real_model_error,4,2,4,score_only,False,,da39a3ee5e6b4b0d3255bfef95601890afd80709,label_consistent_metric_model_reason_recovered,True,4,5_merge_human_metric_en.jsonl,5_human_2|5_human_3,"{""score"":2}",deepseek-r1,1,real_model_score_output,8ede2790a70df93def072b45dc8372d1e487d407,bf2355b31a3942f09ea148ff7e236fb0f09a8390,e7e7fff9de6aaf514989c81720426ef63d68ca0f
r7a_score_only_reason_covered,edubench_r7a_score_only_reason_covered_real_dpo_train,09202b8fad82a0e2d357f9671cae70d0a8b29349,d2dfb2224f4f7d3f932930cf1d4240b74deb2f11,high_to_low_real_model_error,4,2,4,score_only,False,,da39a3ee5e6b4b0d3255bfef95601890afd80709,label_consistent_metric_model_reason_recovered,True,4,5_merge_human_metric_zh.jsonl,5_human_1|5_human_2,"{""score"":2}",deepseek-r1,1,real_model_score_output,7a3dc149c124f9bb21c6a1a20a9b4cbbfaea6d5a,bf2355b31a3942f09ea148ff7e236fb0f09a8390,e7e7fff9de6aaf514989c81720426ef63d68ca0f
r7a_score_only_reason_covered,edubench_r7a_score_only_reason_covered_real_dpo_train,118543b6ffd1f0b7fc57b078ffd51c77f796b610,fe8355c92fdedf86b46847c533ca17f018bc7679,high_to_low_real_model_error,5,1,5,score_only,False,,da39a3ee5e6b4b0d3255bfef95601890afd80709,label_consistent_metric_model_reason_recovered,True,5,5_merge_human_metric_en.jsonl,5_human_2|5_human_3,"{""score"":1}",qwen3_4b_r0a_direct|deepseek-v3,2,real_model_score_output,69386b6d38739fe88f69e861c3b68f9e9b2cece7,beb005be4da3a0130f32c06ff634b762c7be9c49,ea8d124a94959c34a5a3d3f5bbc8956a939cface
r7a_score_only_reason_covered,edubench_r7a_score_only_reason_covered_real_dpo_train,1214a9796760bb201b38fce79c99471cc31271d2,474e1de7818e5730139801b4f471b28d6fa78a15,high_to_low_real_model_error,5,1,5,score_only,False,,da39a3ee5e6b4b0d3255bfef95601890afd80709,label_consistent_metric_model_reason_recovered,True,5,5_merge_human_metric_en.jsonl,5_human_1|5_human_2|5_human_3,"{""score"":1}",deepseek-r1,1,real_model_score_output,2ee289290e050c7206195d8369a841fe33fee6ef,beb005be4da3a0130f32c06ff634b762c7be9c49,ea8d124a94959c34a5a3d3f5bbc8956a939cface
r7a_score_only_reason_covered,edubench_r7a_score_only_reason_covered_real_dpo_train,131797f974b039a303f85e62bde66f7f8dffe4bc,5190426b37344a5dd70adf4894aacc1fb868cdff,high_to_low_real_model_error,5,1,5,score_only,False,,da39a3ee5e6b4b0d3255bfef95601890afd80709,label_consistent_metric_model_reason_recovered,True,5,5_merge_human_metric_en.jsonl,5_human_2|5_human_3,"{""score"":1}",qwq-plus,1,real_model_score_output,51d0ffe2ec54adf572bf1524ec08f5245835b702,beb005be4da3a0130f32c06ff634b762c7be9c49,ea8d124a94959c34a5a3d3f5bbc8956a939cface
r7a_score_only_reason_covered,edubench_r7a_score_only_reason_covered_real_dpo_train,131797f974b039a303f85e62bde66f7f8dffe4bc,5190426b37344a5dd70adf4894aacc1fb868cdff,high_to_low_real_model_error,5,2,5,score_only,False,,da39a3ee5e6b4b0d3255bfef95601890afd80709,label_consistent_metric_model_reason_recovered,True,5,5_merge_human_metric_en.jsonl,5_human_2|5_human_3,"{""score"":2}",deepseek-r1,1,real_model_score_output,51d0ffe2ec54adf572bf1524ec08f5245835b702,beb005be4da3a0130f32c06ff634b762c7be9c49,e7e7fff9de6aaf514989c81720426ef63d68ca0f
r7a_score_only_reason_covered,edubench_r7a_score_only_reason_covered_real_dpo_train,13d04f08a0d70c9f135178c8257a87a5dbeb4f4a,ac5843a5b2798e8500cac73be37d8147d820498f,high_to_low_real_model_error,4,2,4,score_only,False,,da39a3ee5e6b4b0d3255bfef95601890afd80709,label_consistent_metric_model_reason_recovered,True,4,5_merge_human_metric_zh.jsonl,5_human_1|5_human_2,"{""score"":2}",deepseek-r1,1,real_model_score_output,59dc17d56817bdad6472ea9cd3461321c3e05f64,bf2355b31a3942f09ea148ff7e236fb0f09a8390,e7e7fff9de6aaf514989c81720426ef63d68ca0f
