sample_id,question_key,question_group_id,metric,language,subject,gold_label,gold_group,score_pred,risk_pred,risk_score_cap,final_pred,flagged,is_d1_hidden,baseline_low_to_high,final_low_to_high,rescued_low_to_high,gold_high_downgraded_to_3,audit_bucket
02257ff2c77501987e43989cc8c71a017fb39dad,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Instruction Following & Task Completion,en,Business Administration,2,gold_low_1_2,5,5,,5,False,True,True,True,False,False,residual_d1_pred_ge4
04bfbf54a7eeef628f3799e10e300520dcee17ca,9dcad11d15cc245e5dabc70ec2358208f1139f70,9dcad11d15cc245e5dabc70ec2358208f1139f70,Instruction Following & Task Completion,zh,Crop Science,2,gold_low_1_2,4,2,2,4,False,True,True,True,False,False,residual_d1_pred_ge4
1bdcdd67d27147705080e74bea8e7252e9ce95bb,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,"Clarity, Simplicity & Inspiration",en,Business Administration,2,gold_low_1_2,5,4,,5,False,True,True,True,False,False,residual_d1_pred_ge4
308181498ec49e2d421c165fdf652ef8991f34f9,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Instruction Following & Task Completion,en,Business Administration,2,gold_low_1_2,5,5,,5,False,True,True,True,False,False,residual_d1_pred_ge4
60084a95316f0f87040c9c1c0c24a16be077aa06,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Instruction Following & Task Completion,en,Business Administration,2,gold_low_1_2,5,5,,5,False,True,True,True,False,False,residual_d1_pred_ge4
6b1d22832f8c2d9e51459ade117c52581ec16bf8,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Instruction Following & Task Completion,en,Business Administration,2,gold_low_1_2,5,5,,5,False,True,True,True,False,False,residual_d1_pred_ge4
760fc72a43fcce0f05f6e57f16c28416ee7a2536,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Error Identification & Correction Precision,en,Business Administration,2,gold_low_1_2,5,5,,5,False,True,True,True,False,False,residual_d1_pred_ge4
a7f69c77078e9926635bb2b77ebdd28d5733ae36,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,"Clarity, Simplicity & Inspiration",en,Business Administration,2,gold_low_1_2,5,4,,5,False,True,True,True,False,False,residual_d1_pred_ge4
ab6c4ba7b5065f647c29431814feeb3a00e9c7b0,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Scenario Element Integration,en,Business Administration,2,gold_low_1_2,4,3,3,4,False,True,True,True,False,False,residual_d1_pred_ge4
b6b6dda03618d53072e9cb795d23ca1a8dc79a57,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Reasoning Process Rigor,en,Business Administration,2,gold_low_1_2,5,4,,5,False,True,True,True,False,False,residual_d1_pred_ge4
c8f82a756a23aa9b5e70f52f867ac392e2aec089,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,"Clarity, Simplicity & Inspiration",en,Business Administration,2,gold_low_1_2,4,4,,4,False,True,True,True,False,False,residual_d1_pred_ge4
d827928fc39a06825d345c6f8c0685eba89b65cd,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Error Identification & Correction Precision,en,Business Administration,2,gold_low_1_2,5,5,,5,False,True,True,True,False,False,residual_d1_pred_ge4
e9b358073140893a17f069d26d8fe2adc338f088,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,"Clarity, Simplicity & Inspiration",en,Business Administration,2,gold_low_1_2,4,4,,4,False,True,True,True,False,False,residual_d1_pred_ge4
ec3c258a92d9ea146d07d5b2d54170aa37b10793,9d1179a873f8e7454e4075453ea96fee9e73ecff,9d1179a873f8e7454e4075453ea96fee9e73ecff,Basic Factual Accuracy,en,History,2,gold_low_1_2,5,5,,5,False,True,True,True,False,False,residual_d1_pred_ge4
f45ee7ba1b382a63c9d4d3f14889365d54dc1cbd,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Error Identification & Correction Precision,en,Business Administration,2,gold_low_1_2,5,5,,5,False,True,True,True,False,False,residual_d1_pred_ge4
f93c70f6bc17688bb1aa72c33100e1716657dc59,9d1179a873f8e7454e4075453ea96fee9e73ecff,9d1179a873f8e7454e4075453ea96fee9e73ecff,Content Relevance & Scope Control,en,History,2,gold_low_1_2,5,5,,5,False,True,True,True,False,False,residual_d1_pred_ge4
a9fb1437d7ef739f816e75d995054de210ca96a8,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Instruction Following & Task Completion,en,Business Administration,2,gold_low_1_2,5,4,,5,False,False,True,True,False,False,residual_low_to_high
1c585c8ee352fa034b4740658f3baabc61788388,8f1c5aeed95abdf2d61b5100731052698e7f33a9,8f1c5aeed95abdf2d61b5100731052698e7f33a9,Reasoning Process Rigor,en,General Pedagogy,4,gold_high_4_5,5,1,1,3,True,False,False,False,False,True,downgraded_gold_high_to_3
