human_label,language,metric_family,qwen_human_gap,gate,gate_failure_reasons,rows
1,en,Factual & Reasoning Accuracy,0,1,none,3
1,en,Factual & Reasoning Accuracy,3,1,none,1
1,en,Factual & Reasoning Accuracy,4,1,none,4
1,en,Pedagogical Application,1,0,score_reason_inconsistent,1
1,en,Pedagogical Application,1,1,none,1
1,zh,Factual & Reasoning Accuracy,0,1,none,11
1,zh,Factual & Reasoning Accuracy,2,1,none,1
1,zh,Pedagogical Application,4,1,none,1
1,zh,Scenario Adaptability,1,1,none,1
2,en,Factual & Reasoning Accuracy,0,1,none,2
2,en,Factual & Reasoning Accuracy,2,1,none,2
2,en,Factual & Reasoning Accuracy,3,1,none,3
2,en,Pedagogical Application,0,0,score_reason_inconsistent,2
2,en,Pedagogical Application,0,1,none,6
2,en,Pedagogical Application,1,1,none,1
2,en,Pedagogical Application,2,1,none,4
2,en,Pedagogical Application,3,1,none,2
2,en,Scenario Adaptability,-1,1,none,1
2,en,Scenario Adaptability,0,1,none,3
2,en,Scenario Adaptability,2,1,none,3
2,en,Scenario Adaptability,3,1,none,7
2,zh,Factual & Reasoning Accuracy,-1,1,none,2
2,zh,Factual & Reasoning Accuracy,0,1,none,2
2,zh,Factual & Reasoning Accuracy,2,1,none,1
2,zh,Factual & Reasoning Accuracy,3,1,none,1
2,zh,Pedagogical Application,-1,1,none,1
2,zh,Pedagogical Application,0,1,none,3
2,zh,Pedagogical Application,1,1,none,1
2,zh,Pedagogical Application,2,1,none,1
2,zh,Scenario Adaptability,-1,1,none,1
2,zh,Scenario Adaptability,0,1,none,1
2,zh,Scenario Adaptability,2,1,none,1
2,zh,Scenario Adaptability,3,1,none,1
3,en,Factual & Reasoning Accuracy,-1,1,none,5
3,en,Factual & Reasoning Accuracy,0,1,none,1
3,en,Factual & Reasoning Accuracy,1,1,none,7
3,en,Factual & Reasoning Accuracy,2,1,none,13
3,en,Pedagogical Application,-1,0,score_reason_inconsistent,7
3,en,Pedagogical Application,-1,1,none,17
3,en,Pedagogical Application,0,1,none,7
3,en,Pedagogical Application,1,1,none,19
3,en,Pedagogical Application,2,1,none,2
3,en,Scenario Adaptability,-1,1,none,2
3,en,Scenario Adaptability,0,1,none,2
3,en,Scenario Adaptability,1,1,none,5
3,en,Scenario Adaptability,2,1,none,10
3,zh,Factual & Reasoning Accuracy,-1,1,none,6
3,zh,Factual & Reasoning Accuracy,-2,1,none,1
3,zh,Factual & Reasoning Accuracy,0,1,none,7
3,zh,Factual & Reasoning Accuracy,1,1,none,9
3,zh,Factual & Reasoning Accuracy,2,1,none,5
3,zh,Pedagogical Application,-1,0,score_reason_inconsistent,9
3,zh,Pedagogical Application,-1,1,none,17
3,zh,Pedagogical Application,0,1,none,11
3,zh,Pedagogical Application,1,1,none,20
3,zh,Pedagogical Application,2,1,none,7
3,zh,Scenario Adaptability,-1,1,none,4
3,zh,Scenario Adaptability,-2,1,none,2
3,zh,Scenario Adaptability,0,1,none,3
3,zh,Scenario Adaptability,1,1,none,20
3,zh,Scenario Adaptability,2,1,none,33
4,en,Factual & Reasoning Accuracy,-1,1,none,14
4,en,Factual & Reasoning Accuracy,-2,1,none,7
4,en,Factual & Reasoning Accuracy,0,1,none,23
4,en,Factual & Reasoning Accuracy,1,1,none,28
4,en,Pedagogical Application,-1,1,none,19
4,en,Pedagogical Application,-2,0,score_reason_inconsistent,10
4,en,Pedagogical Application,-2,1,none,11
4,en,Pedagogical Application,0,1,none,79
4,en,Pedagogical Application,1,1,none,36
4,en,Scenario Adaptability,-1,1,none,4
4,en,Scenario Adaptability,-2,1,none,5
4,en,Scenario Adaptability,-3,1,none,2
4,en,Scenario Adaptability,0,1,none,31
4,en,Scenario Adaptability,1,1,none,103
4,zh,Factual & Reasoning Accuracy,-1,1,none,19
4,zh,Factual & Reasoning Accuracy,-2,1,none,27
4,zh,Factual & Reasoning Accuracy,-3,1,none,2
4,zh,Factual & Reasoning Accuracy,0,1,none,32
4,zh,Factual & Reasoning Accuracy,1,1,none,44
4,zh,Pedagogical Application,-1,1,none,30
4,zh,Pedagogical Application,-2,0,score_reason_inconsistent,9
4,zh,Pedagogical Application,-2,1,none,25
4,zh,Pedagogical Application,-3,1,none,1
4,zh,Pedagogical Application,0,1,none,82
4,zh,Pedagogical Application,1,1,none,24
4,zh,Scenario Adaptability,-1,1,none,37
4,zh,Scenario Adaptability,-2,0,score_reason_inconsistent,1
4,zh,Scenario Adaptability,-2,1,none,22
4,zh,Scenario Adaptability,-3,1,none,1
4,zh,Scenario Adaptability,0,1,none,65
4,zh,Scenario Adaptability,1,1,none,153
5,en,Factual & Reasoning Accuracy,-1,1,none,49
5,en,Factual & Reasoning Accuracy,-2,1,none,15
5,en,Factual & Reasoning Accuracy,-3,1,none,9
5,en,Factual & Reasoning Accuracy,0,1,none,217
5,en,Pedagogical Application,-1,1,none,50
5,en,Pedagogical Application,-2,1,none,13
5,en,Pedagogical Application,-3,0,score_reason_inconsistent,1
5,en,Pedagogical Application,-3,1,none,4
5,en,Pedagogical Application,0,1,none,71
5,en,Scenario Adaptability,-1,1,none,51
5,en,Scenario Adaptability,-2,1,none,18
5,en,Scenario Adaptability,-3,1,none,4
5,en,Scenario Adaptability,-4,1,none,1
5,en,Scenario Adaptability,0,1,none,323
5,zh,Factual & Reasoning Accuracy,-1,1,none,38
5,zh,Factual & Reasoning Accuracy,-2,1,none,5
5,zh,Factual & Reasoning Accuracy,-3,1,none,11
5,zh,Factual & Reasoning Accuracy,0,1,none,161
5,zh,Pedagogical Application,-1,1,none,59
5,zh,Pedagogical Application,-2,1,none,10
5,zh,Pedagogical Application,-3,0,score_reason_inconsistent,3
5,zh,Pedagogical Application,-3,1,none,6
5,zh,Pedagogical Application,-4,1,none,1
5,zh,Pedagogical Application,0,1,none,30
5,zh,Scenario Adaptability,-1,1,none,38
5,zh,Scenario Adaptability,-2,1,none,16
5,zh,Scenario Adaptability,-3,1,none,6
5,zh,Scenario Adaptability,0,1,none,171
