evaluator,generator_model,n,n_valid,MAE,Signed Bias,Exact Match,Kendall tau
EduBenchEvaluator,deepseek-r1,447,447,0.31767337807606266,0.23266219239373598,0.8299776286353467,0.3077283674963727
EduBenchEvaluator,deepseek-v3,459,459,0.449527959331881,0.2650689905591867,0.6862745098039216,0.5045430837244607
EduBenchEvaluator,qwen-max,456,456,0.3808479532163742,0.22295321637426901,0.7850877192982456,0.5339030507745689
EduBenchEvaluator,qwen2.5-14b-instruct,429,429,0.4856254856254857,0.2432012432012433,0.6713286713286714,0.46813426516143797
EduBenchEvaluator,qwen2.5-7b-instruct,427,427,0.5534738485558158,0.3021077283372366,0.6416861826697893,0.40870276850423
GPT-4o,deepseek-r1,447,440,0.3886363636363636,0.2098484848484848,0.7727272727272727,0.2338416842525418
GPT-4o,deepseek-v3,459,454,0.65712187958884,0.5572687224669604,0.5110132158590308,0.26479947862456754
GPT-4o,qwen-max,456,450,0.5333333333333333,0.41037037037037033,0.6355555555555555,0.2431523372720331
GPT-4o,qwen2.5-14b-instruct,429,429,0.7187257187257188,0.6301476301476302,0.4522144522144522,0.3317793102149152
GPT-4o,qwen2.5-7b-instruct,427,419,0.724741447891806,0.6022275258552109,0.4988066825775656,0.24558293837584538
DeepSeek-R1,deepseek-r1,447,447,0.4295302013422818,0.1700223713646532,0.7718120805369127,0.18513347580554243
DeepSeek-R1,deepseek-v3,459,459,0.6623093681917211,0.45896877269426295,0.5054466230936819,0.2528115729135106
DeepSeek-R1,qwen-max,456,456,0.5160818713450293,0.2821637426900585,0.6469298245614035,0.2935354775550514
DeepSeek-R1,qwen2.5-14b-instruct,429,429,0.668997668997669,0.4250194250194252,0.4965034965034965,0.41896329857390013
DeepSeek-R1,qwen2.5-7b-instruct,427,427,0.7072599531615925,0.3559718969555036,0.4964871194379391,0.2792305911860149
DeepSeek-V3,deepseek-r1,447,447,0.3527218493661446,0.24384787472035793,0.8187919463087249,0.2813298214847301
DeepSeek-V3,deepseek-v3,459,459,0.6550472040668119,0.5504720406681192,0.5359477124183006,0.25111473099834
DeepSeek-V3,qwen-max,456,456,0.5080409356725146,0.3545321637426901,0.6447368421052632,0.3015668224600825
DeepSeek-V3,qwen2.5-14b-instruct,429,429,0.7070707070707072,0.5905205905205906,0.4801864801864802,0.3560735203192424
DeepSeek-V3,qwen2.5-7b-instruct,427,427,0.6900858704137393,0.5714285714285714,0.5292740046838408,0.2937968809209941
QwQ-plus,deepseek-r1,447,446,0.39536621823617335,0.21001494768310908,0.804932735426009,0.261803376092944
QwQ-plus,deepseek-v3,459,455,0.6703296703296703,0.44175824175824174,0.5274725274725275,0.2217413317638766
QwQ-plus,qwen-max,456,453,0.5393671817512876,0.3568800588668138,0.6401766004415012,0.26262664054387114
QwQ-plus,qwen2.5-14b-instruct,429,420,0.6888888888888889,0.5285714285714287,0.5095238095238095,0.348432481356253
QwQ-plus,qwen2.5-7b-instruct,427,422,0.7069510268562402,0.5126382306477093,0.533175355450237,0.30110436261075485
