sample_id,question_key,question_group_id,metric,language,subject,gold_label,pred_r2c,pred_ge4_r2c,pred_r4b,pred_ge4_r4b,pred_r7d,pred_ge4_r7d,pred_r7e,pred_ge4_r7e,pred_dpo0,pred_ge4_dpo0,pred_orc_b,pred_ge4_orc_b,pred_orc_b_noreason,pred_ge4_orc_b_noreason,r7d_reduced_vs_r2c,orc_b_reduced_vs_dpo0
02257ff2c77501987e43989cc8c71a017fb39dad,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Instruction Following & Task Completion,en,Business Administration,2,5,True,5,True,5,True,4,True,5,True,5,True,5,True,False,False
04bfbf54a7eeef628f3799e10e300520dcee17ca,9dcad11d15cc245e5dabc70ec2358208f1139f70,9dcad11d15cc245e5dabc70ec2358208f1139f70,Instruction Following & Task Completion,zh,Crop Science,2,5,True,4,True,5,True,4,True,4,True,4,True,4,True,False,False
057fb10dadb0ef587ef63e8c0692fb069e747f33,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Reasoning Process Rigor,en,Business Administration,2,5,True,5,True,1,False,4,True,5,True,5,True,5,True,True,False
1bdcdd67d27147705080e74bea8e7252e9ce95bb,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,"Clarity, Simplicity & Inspiration",en,Business Administration,2,5,True,5,True,5,True,4,True,5,True,5,True,5,True,False,False
28cb100bda849f499ad3ad11500b7d1b494be4a7,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Error Identification & Correction Precision,en,Business Administration,2,5,True,5,True,5,True,5,True,5,True,5,True,5,True,False,False
308181498ec49e2d421c165fdf652ef8991f34f9,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Instruction Following & Task Completion,en,Business Administration,2,5,True,5,True,5,True,4,True,5,True,5,True,5,True,False,False
3783f563820e72434b75d23f81fd58fb010931f7,9d1179a873f8e7454e4075453ea96fee9e73ecff,9d1179a873f8e7454e4075453ea96fee9e73ecff,Content Relevance & Scope Control,en,History,2,5,True,2,False,5,True,2,False,5,True,5,True,5,True,False,False
46e715a2df1e392b0e0ddb3fee67f5a339e5e608,1bbfb9a5f532b875aaa1b5a1500fb88535b21a51,1bbfb9a5f532b875aaa1b5a1500fb88535b21a51,"Motivation, Guidance & Positive Feedback",en,Business Administration,2,4,True,4,True,4,True,4,True,4,True,4,True,4,True,False,False
60084a95316f0f87040c9c1c0c24a16be077aa06,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Instruction Following & Task Completion,en,Business Administration,2,5,True,5,True,1,False,4,True,5,True,5,True,5,True,True,False
6304a049e36db27cde8ac17418f406f0b8d94687,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Scenario Element Integration,en,Business Administration,2,5,True,5,True,4,True,4,True,5,True,5,True,5,True,True,False
6b1d22832f8c2d9e51459ade117c52581ec16bf8,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Instruction Following & Task Completion,en,Business Administration,2,5,True,5,True,5,True,4,True,5,True,5,True,5,True,False,False
760fc72a43fcce0f05f6e57f16c28416ee7a2536,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Error Identification & Correction Precision,en,Business Administration,2,5,True,5,True,2,False,5,True,5,True,,False,5,True,True,False
9ab1bf35a1c05a0d05b45d75620e919312780063,9d1179a873f8e7454e4075453ea96fee9e73ecff,9d1179a873f8e7454e4075453ea96fee9e73ecff,Instruction Following & Task Completion,en,History,2,5,True,5,True,5,True,5,True,5,True,5,True,5,True,False,False
a30876aee5bfcd792a475f60264f22dfc7b74b91,9d1179a873f8e7454e4075453ea96fee9e73ecff,9d1179a873f8e7454e4075453ea96fee9e73ecff,Basic Factual Accuracy,en,History,2,5,True,1,False,5,True,5,True,5,True,5,True,5,True,False,False
a7f69c77078e9926635bb2b77ebdd28d5733ae36,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,"Clarity, Simplicity & Inspiration",en,Business Administration,2,5,True,5,True,5,True,4,True,5,True,5,True,5,True,False,False
ab6c4ba7b5065f647c29431814feeb3a00e9c7b0,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Scenario Element Integration,en,Business Administration,2,5,True,5,True,5,True,4,True,5,True,5,True,5,True,False,False
abd894527f401792d7a5cb4438ee15420de3ea1d,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Reasoning Process Rigor,en,Business Administration,2,5,True,5,True,5,True,4,True,5,True,5,True,5,True,False,False
b6b6dda03618d53072e9cb795d23ca1a8dc79a57,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Reasoning Process Rigor,en,Business Administration,2,5,True,5,True,1,False,4,True,5,True,5,True,5,True,True,False
bb99da8830bc11b1828c4a9637d65ecb7ee71420,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Scenario Element Integration,en,Business Administration,2,5,True,5,True,2,False,4,True,5,True,5,True,5,True,True,False
c8f82a756a23aa9b5e70f52f867ac392e2aec089,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,"Clarity, Simplicity & Inspiration",en,Business Administration,2,5,True,5,True,2,False,4,True,5,True,5,True,5,True,True,False
d827928fc39a06825d345c6f8c0685eba89b65cd,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Error Identification & Correction Precision,en,Business Administration,2,5,True,5,True,1,False,5,True,5,True,5,True,5,True,True,False
e9b358073140893a17f069d26d8fe2adc338f088,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,"Clarity, Simplicity & Inspiration",en,Business Administration,2,4,True,5,True,5,True,4,True,5,True,5,True,5,True,False,False
