sample_id,question_key,metric,language,subject,gold_label,reason_available,reason_source,a0_training_use,a0_failure_mode,exp21_candidate_type,existing_low_to_high_hard_negative_count,current_annotation_status,needs_annotation_fields,teacher_prompt_priority,question_preview,answer_preview,rubric_preview
5b26cbf6ea42fc58b395d13eed217da190d3e2f0,8cdf1aba67fd11f6ef4d3de526d6c99b7ecebfd4,Scenario Element Integration,en,Applied Economics,3,True,raw_5grades_recovered_human_reason,,,,0,needs_optional_review,optional_borderline_review,medium,"{'Name': 'Alex Johnson', 'Age': 21, 'Current Education Level': 'Undergraduate', 'Current Skill Level': 'Intermediate', 'Learning Goals': ['Understand the application of economic theories in real-world scenarios', 'Improve quantitative analy","```json { ""Learning Path Planning"": { ""Short-term Goals"": [ ""Focus on understanding basic econometric models through visual learning materials."", ""Engage in group discussions to explore macroeconomic policy analysis."", ""Complete short, focu","[""5: Fully integrated all key scenario elements (e.g., student history, learning preferences); output is highly personalized and well-matched to the teaching context."", ""4: Used major scenario elements effectively; response is targeted, pos"
d5838f98752f0c4852522f35c4db829fe51c993f,639f94d782b2c115eb52a4aae8b943c69735f697,"Personalization, Adaptation & Learning Support",en,History,3,True,raw_5grades_recovered_human_reason,,,,0,needs_optional_review,optional_borderline_review,medium,"{'Name': 'Alex Johnson', 'Age': 17, 'Current Education Level': 'High School Junior', 'Current Skill Level in History': 'Intermediate', 'Learning Goals': 'To improve understanding of 20th-century world history and enhance critical analysis s","```json { ""StudentProfile"": { ""Name"": ""Alex Johnson"", ""Age"": 17, ""CurrentEducationLevel"": ""High School Junior"", ""CurrentSkillLevelInHistory"": ""Intermediate"", ""LearningGoals"": [ ""Improve understanding of 20th-century world history"", ""Enhance","[""5: Highly personalized content/advice/feedback based on student level/traits/needs; resource and learning path suggestions are accurate, practical, and valuable."", ""4: Demonstrates some adaptation to student situation; provides relevant l"
b966b87c284f1074537ded5ff767608734561911,002cfcd8c1ac3ea32c6f46646c8bc2e1059c0500,"Personalization, Adaptation & Learning Support",en,Biology,3,True,raw_5grades_recovered_human_reason,,,,0,needs_optional_review,optional_borderline_review,medium,"{'Name': 'Alex Johnson', 'Age': 20, 'Current Skill Level': 'Intermediate', 'Learning Goals': ['Understand cellular biology', 'Master genetics concepts', 'Prepare for advanced ecology coursework'], 'Study Habits': ['Visual learner', 'Prefers","```json { ""Learning Path Planning"": { ""Short-term Goals"": [ ""Focus on understanding basic genetic processes through visual aids and hands-on activities."", ""Practice data analysis and interpretation with simple datasets."" ], ""Medium-term Goa","[""5: Highly personalized content/advice/feedback based on student level/traits/needs; resource and learning path suggestions are accurate, practical, and valuable."", ""4: Demonstrates some adaptation to student situation; provides relevant l"
5bba98b7791a392b7874b20b0f328a745845ae7c,041e24355921f74d38dc4cfa218e38b1295f9100,"Personalization, Adaptation & Learning Support",en,Aquaculture,3,True,raw_5grades_recovered_human_reason,,,,0,needs_optional_review,optional_borderline_review,medium,"{'Name': 'Alex Johnson', 'Age': 22, 'Education Level': 'Undergraduate', 'Current Skill Level': 'Intermediate', 'Learning Goals': ['Understand sustainable aquaculture practices', 'Learn about fish breeding techniques', 'Gain knowledge in aqu","```json { ""Learning Path Planning"": { ""Phase 1: Foundational Knowledge"": [ ""Introduction to Aquaculture: Principles and Practices"", ""Basics of Fish Biology and Ecology"", ""Overview of Sustainable Aquaculture"" ], ""Phase 2: Intermediate Skills","[""5: Highly personalized content/advice/feedback based on student level/traits/needs; resource and learning path suggestions are accurate, practical, and valuable."", ""4: Demonstrates some adaptation to student situation; provides relevant l"
fcdfcef4282766582ea0035b4fc424fc7885afad,cfaf5a22b6aa096b0f93a01fee71a64a309c8b48,"Personalization, Adaptation & Learning Support",en,Chemistry,3,False,missing_human_reason,,,,0,needs_optional_review,optional_borderline_review,medium,"{'Name': 'Alex Johnson', 'Current Level': 'High School Senior', 'Learning Goals': 'To improve understanding of organic chemistry and prepare for college-level chemistry courses', 'Weak Points': ['Understanding reaction mechanisms', 'Stereoc","```json { ""Learning Path Planning"": { ""Short-term Goals"": [ ""Focus on mastering reaction mechanisms through visual aids and practice problems."", ""Strengthen understanding of stereochemistry using 3D models and interactive tools."", ""Practice","[""5: Highly personalized content/advice/feedback based on student level/traits/needs; resource and learning path suggestions are accurate, practical, and valuable."", ""4: Demonstrates some adaptation to student situation; provides relevant l"
b964c643ca86d6b40fdfa27d27cebca463b607e4,5a8663d57769fe35066bd7a0879ffa16b30fef1f,Higher-Order Thinking & Skill Development,en,Chemistry,3,False,missing_human_reason,,,,0,needs_optional_review,optional_borderline_review,medium,"Student Profile: Student Profile: {'Name': 'Alex Johnson', 'Year': 'Sophomore', 'Major': 'Chemical Engineering', 'Strengths': ['Strong analytical skills', 'Good grasp of chemical equations'], 'Weaknesses': ['Struggles with organic chemistry","Here is a personalized learning plan based on Alex Johnson's profile, formatted as requested in JSON: ```json { ""PersonalizedLearningPlan"": { ""StudentName"": ""Alex Johnson"", ""TasksAndContent"": [ { ""Title"": ""Interactive Organic Chemistry Conc","[""5: Skillfully designed to promote critical/creative thinking, problem-solving, or transfer of knowledge (e.g., through open-ended questions, comparative analysis, case study, project-based tasks)."", ""4: Includes guiding questions or moder"
38d70b6e4574e86f730b29404adbf643018d7ab1,1aa181bce1f718f6c1980cd975c0621670e3e5c9,Higher-Order Thinking & Skill Development,en,Aquaculture,3,True,raw_5grades_recovered_human_reason,,,train_mid_borderline_candidates,0,needs_optional_review,optional_borderline_review,medium,"Student Profile: Student Profile: {'Name': 'Alex Johnson', 'Research Focus': 'Sustainable aquaculture practices in marine environments', 'Strengths': 'Strong analytical skills, proficient in data analysis software, excellent understanding o","```json { ""personalized_learning_content"": [ { ""task"": ""Data Analysis Project"", ""description"": ""Conduct a data analysis project using real-world datasets related to sustainable aquaculture practices. Utilize your proficiency in data analysi","[""5: Skillfully designed to promote critical/creative thinking, problem-solving, or transfer of knowledge (e.g., through open-ended questions, comparative analysis, case study, project-based tasks)."", ""4: Includes guiding questions or moder"
a2adba53cd9770ebbfeac5f9c6a614e381ec0109,5a8663d57769fe35066bd7a0879ffa16b30fef1f,Higher-Order Thinking & Skill Development,en,Chemistry,3,True,raw_5grades_recovered_human_reason,,,,0,needs_optional_review,optional_borderline_review,medium,"Student Profile: Student Profile: {'Name': 'Alex Johnson', 'Year': 'Sophomore', 'Major': 'Chemical Engineering', 'Strengths': ['Strong analytical skills', 'Good grasp of chemical equations'], 'Weaknesses': ['Struggles with organic chemistry","```json { ""Personalized_Learning_Content"": [ { ""Task"": ""Watch a series of visual tutorials on organic chemistry concepts, focusing on reaction mechanisms and stereochemistry."", ""Resource"": ""Khan Academy Organic Chemistry Playlist"", ""Time"": ","[""5: Skillfully designed to promote critical/creative thinking, problem-solving, or transfer of knowledge (e.g., through open-ended questions, comparative analysis, case study, project-based tasks)."", ""4: Includes guiding questions or moder"
8e068efec60220e2373adb4de434e5114b181788,ba35192a049e868eedae5ba310638e7e75c9f363,Instruction Following & Task Completion,en,Basic Medicine,3,False,missing_human_reason,,,,0,needs_optional_review,optional_borderline_review,medium,Question: Which of the following is the primary function of hemoglobin in the human body? Original Answer: To fight infections by destroying bacteria. You are providing error-correction services for the student's response. Based on this que,"{ ""Corrected Answer"": ""To transport oxygen from the lungs to the rest of the body and to help remove carbon dioxide."", ""Error Explanation"": ""The original answer incorrectly attributes the function of fighting infections to hemoglobin, which","[""5: Fully understood and precisely executed all instructions; achieved core task with perfect accuracy; output format is fully compliant."", ""4: Accurately understood main instructions and correctly completed the task; core goals are well a"
40999f48788f0503f5f5235ca07aac5cd3cccbd3,ba35192a049e868eedae5ba310638e7e75c9f363,Scenario Element Integration,en,Basic Medicine,3,False,missing_human_reason,,,,0,needs_optional_review,optional_borderline_review,medium,Question: Which of the following is the primary function of hemoglobin in the human body? Original Answer: To fight infections by destroying bacteria. You are providing error-correction services for the student's response. Based on this que,"{ ""Corrected Answer"": ""To transport oxygen from the lungs to the rest of the body and to help remove carbon dioxide."", ""Error Explanation"": ""The original answer incorrectly attributes the function of fighting infections to hemoglobin, which","[""5: Fully integrated all key scenario elements (e.g., student history, learning preferences); output is highly personalized and well-matched to the teaching context."", ""4: Used major scenario elements effectively; response is targeted, pos"
