sample_id,label,label_region,qwen_score,deepseek_score,score_adjacent,failure_visibility_match,overestimation_risk_match,evidence_type_match
0578273c54e1a724084529ebbc385f1bdd1076ea,1,low,5,1,False,False,False,False
107a460ba82cd473b9a08a5d43257a7f1d336874,2,low,2,3,True,True,False,True
1947f424625d896777f4dbddef16ab9afb7730aa,1,low,1,1,True,True,False,True
1d5f77fabc222d72e4fb87f25eb3e5c41e786cf4,1,low,2,3,True,False,True,False
1f9fc6e36113728a15b2ce3acfbe2073b64d734d,3,mid,3,3,True,True,False,True
3a5e33210fd977f5c8bc6df5dc98a0402f4663ac,4,high,4,3,True,True,False,True
4468842156d5b938a609185df023c4a860497e75,3,mid,5,5,True,False,False,False
46133cfb383c1c10e94bab324dabdce1277ab939,4,high,4,2,False,False,False,False
6195cd84a8bf06d5a3608b3bb6561111e242ace6,3,mid,3,3,True,False,True,False
630a88341b60ad40afcd43bf6bf3967c515b8803,2,low,2,2,True,True,False,True
63ab64773fb76fbe6cba302eed79041a8316bb7c,2,low,2,2,True,True,False,True
65890fb994cef054dc75e0e6dd4c1b3e2d91805d,2,low,4,4,True,False,True,False
6c2ca811835d3ab2cc459573f13c0ae3caf83824,3,mid,4,4,True,False,True,False
76909e50052e68bb729ed62933a86559f6a7c036,1,low,1,1,True,True,False,True
7a3d744f872bfd9b86744f132f9dfc6a3c5d8e9f,3,mid,2,2,True,True,False,True
89f8c6ed8c1b947a44510dcc18b38a1d97571453,2,low,2,2,True,True,False,True
8ff264a74369c7106935fc453add4b92d95a8b87,1,low,1,1,True,True,False,True
a5b76b94f849ef3c81364bfd2a49a16777a2d7fa,2,low,4,3,True,False,True,False
a6a61e243a1f0c09ac86c3557bd39377eff935bc,3,mid,4,3,True,False,False,False
aecd1f611f3240d1b34cc110420629542708fd0a,3,mid,2,2,True,True,False,False
b01129b756e85be3f61bf81d006ca0e61ef3e530,4,high,3,4,True,False,True,False
b5f54f2d11493dd41a74e9e2274d26451a958dcc,1,low,1,3,False,True,False,True
b93239ad93a7561a06f1b07c82c82f44bf81667e,3,mid,4,4,True,True,False,True
b9f1c6853708c1217088b33dabe3b2ce1f70233e,4,high,3,3,True,False,True,False
bdfb1901aed7bfddbd4bcd0898854e7ecfd4513c,2,low,2,4,False,False,True,False
c0d4f41ccf2066449887e86887cb7b8903269b2a,2,low,1,2,True,True,False,True
cc6d5db1c4f4f75e83954e1ae458ae259662bb79,3,mid,1,1,True,True,False,True
cd63948c28174674b09c1bed2f6fa389c8ec4a34,3,mid,4,4,True,False,False,False
eca00ddc55d718efe2435adde78462ed09661b7c,1,low,1,1,True,True,False,True
fa56f52580300b84cfe4cfebbc253e20e69773f2,5,high,4,1,False,False,False,False
