source_file,language,target_label_5,count,pct
deepseek-r1_merged.jsonl,en,missing,495,0.00465
deepseek-r1_merged.jsonl,zh,missing,495,0.00465
deepseek_output/deepseek_generated_20251124_204411.jsonl,en,missing,75,0.000705
deepseek_output/deepseek_generated_20251124_204411.jsonl,zh,missing,89,0.000836
deepseek_output/en_judge_20251109_221657.jsonl,en,missing,173,0.001625
deepseek_output/judge-1-process.jsonl,en,missing,100,0.000939
deepseek_output/judge-1-process.jsonl,zh,missing,89,0.000836
deepseek_output/judge-2-process.jsonl,en,missing,98,0.000921
deepseek_output/judge-2-process.jsonl,zh,missing,88,0.000827
deepseek_output/processed_excel_data_1.jsonl,en,2,5,4.7e-05
deepseek_output/processed_excel_data_1.jsonl,en,3,12,0.000113
deepseek_output/processed_excel_data_1.jsonl,en,4,30,0.000282
deepseek_output/processed_excel_data_1.jsonl,en,5,272,0.002555
deepseek_output/processed_excel_data_1.jsonl,zh,2,3,2.8e-05
deepseek_output/processed_excel_data_1.jsonl,zh,3,30,0.000282
deepseek_output/processed_excel_data_1.jsonl,zh,4,47,0.000441
deepseek_output/processed_excel_data_1.jsonl,zh,5,260,0.002442
deepseek_output/processed_excel_data_1_en.jsonl,en,2,5,4.7e-05
deepseek_output/processed_excel_data_1_en.jsonl,en,3,12,0.000113
deepseek_output/processed_excel_data_1_en.jsonl,en,4,30,0.000282
deepseek_output/processed_excel_data_1_en.jsonl,en,5,272,0.002555
deepseek_output/processed_excel_data_1_en.jsonl,zh,3,1,9e-06
deepseek_output/processed_excel_data_1_en.jsonl,zh,4,3,2.8e-05
deepseek_output/processed_excel_data_1_en.jsonl,zh,5,8,7.5e-05
deepseek_output/processed_excel_data_1_zh.jsonl,zh,2,3,2.8e-05
deepseek_output/processed_excel_data_1_zh.jsonl,zh,3,29,0.000272
deepseek_output/processed_excel_data_1_zh.jsonl,zh,4,44,0.000413
deepseek_output/processed_excel_data_1_zh.jsonl,zh,5,252,0.002367
deepseek_output/processed_excel_data_2.jsonl,en,2,5,4.7e-05
deepseek_output/processed_excel_data_2.jsonl,en,3,12,0.000113
deepseek_output/processed_excel_data_2.jsonl,en,4,30,0.000282
deepseek_output/processed_excel_data_2.jsonl,en,5,272,0.002555
deepseek_output/processed_excel_data_2.jsonl,zh,2,3,2.8e-05
deepseek_output/processed_excel_data_2.jsonl,zh,3,30,0.000282
deepseek_output/processed_excel_data_2.jsonl,zh,4,47,0.000441
deepseek_output/processed_excel_data_2.jsonl,zh,5,260,0.002442
deepseek_output/processed_excel_data_2_en.jsonl,en,2,5,4.7e-05
deepseek_output/processed_excel_data_2_en.jsonl,en,3,12,0.000113
