source_path,exists,file_type,num_records,likely_role,contains_question,contains_answer,contains_metric,contains_label,contains_score,contains_rubric,contains_reasoning,contains_error_type,contains_source_question_id,contains_language,contains_synthetic_marker,usable_for_exp06,risk_level,notes
sampled_merge_50_new.json,True,json,6000,sampled_augmented,True,True,False,False,False,False,False,False,False,False,True,REVIEW_ONLY_HIGH_RISK,HIGH,required default HIGH risk; SFT/sampled data needs leakage and label provenance confirmation
sampled_merge_50_new_swift.json,True,json,6000,sampled_augmented,True,True,False,False,False,False,False,False,False,False,True,REVIEW_ONLY_HIGH_RISK,HIGH,required default HIGH risk; SFT/sampled data needs leakage and label provenance confirmation
edu-data-synthesis-main,True,dir,98,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/README.md,True,md,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/config-example.yaml,True,yaml,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/data/criteria/metrics_en_whiten.json,True,json,12,synthetic_candidate,False,False,False,False,False,False,False,False,False,False,True,REVIEW_ONLY_INCOMPLETE_SCHEMA,HIGH,synthetic-like source lacks complete question/answer/metric/score schema
edu-data-synthesis-main/data/criteria/metrics_map.json,True,json,9,synthetic_candidate,False,False,False,False,False,False,False,False,False,False,True,REVIEW_ONLY_INCOMPLETE_SCHEMA,HIGH,synthetic-like source lacks complete question/answer/metric/score schema
edu-data-synthesis-main/data/criteria/metrics_old.json,True,json,3,synthetic_candidate,False,False,True,False,False,False,False,False,False,False,True,REVIEW_ONLY_INCOMPLETE_SCHEMA,HIGH,synthetic-like source lacks complete question/answer/metric/score schema
edu-data-synthesis-main/data/criteria/metrics_zh_whiten.json,True,json,12,synthetic_candidate,False,False,False,False,False,False,False,False,False,False,True,REVIEW_ONLY_INCOMPLETE_SCHEMA,HIGH,synthetic-like source lacks complete question/answer/metric/score schema
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,True,jsonl,3100,synthetic_candidate,True,False,True,False,True,False,True,False,True,True,True,REVIEW_ONLY_INCOMPLETE_SCHEMA,HIGH,synthetic-like source lacks complete question/answer/metric/score schema
edu-data-synthesis-main/data/eval_data/train_eval_data.jsonl,True,jsonl,1782,model_judge_output,True,False,True,False,True,False,True,False,True,True,True,NO_JUDGE_OUTPUT_ONLY,BLOCKED,model/judge output is not a human-label source
edu-data-synthesis-main/data/eval_data/val_eval_data.jsonl,True,jsonl,1188,model_judge_output,True,False,True,False,True,False,True,False,True,True,True,NO_JUDGE_OUTPUT_ONLY,BLOCKED,model/judge output is not a human-label source
edu-data-synthesis-main/data/process_cjeval.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/data/process_gaokao_bench.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/data/scenario/scenarios_en.json,True,json,9,synthetic_candidate,False,False,False,False,False,False,False,False,False,False,True,REVIEW_ONLY_INCOMPLETE_SCHEMA,HIGH,synthetic-like source lacks complete question/answer/metric/score schema
edu-data-synthesis-main/data/scenario/scenarios_zh.json,True,json,9,synthetic_candidate,False,False,False,False,False,False,False,False,False,False,True,REVIEW_ONLY_INCOMPLETE_SCHEMA,HIGH,synthetic-like source lacks complete question/answer/metric/score schema
edu-data-synthesis-main/data/split_eval_data.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/data/utils.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/data/zh/cjeval.jsonl,True,jsonl,26136,sampled_augmented,True,True,False,False,False,False,True,False,True,False,True,REVIEW_ONLY,HIGH,sampled/augmented source; train-only use requires strict leakage and label provenance review
edu-data-synthesis-main/data/zh/gaokao-bench.jsonl,True,jsonl,3126,sampled_augmented,True,True,False,False,True,False,True,False,True,False,True,REVIEW_ONLY,HIGH,sampled/augmented source; train-only use requires strict leakage and label provenance review
edu-data-synthesis-main/init_workflows/init_evaluation_workflow_1_1.json,True,json,4,synthetic_candidate,False,True,True,False,False,False,False,False,False,False,True,REVIEW_ONLY_INCOMPLETE_SCHEMA,HIGH,synthetic-like source lacks complete question/answer/metric/score schema
edu-data-synthesis-main/modules/base.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/datas.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/logging.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/models/__init__.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/models/llm.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/nodes/__init__.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/nodes/aggregate/__init__.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/nodes/aggregate/aggregate.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/nodes/aggregate/aggregate_system.md,True,md,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/nodes/aggregate/aggregate_user.md,True,md,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/nodes/base.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/nodes/evaluate/__init__.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/nodes/evaluate/evaluate.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/nodes/evaluate/evaluate_system.md,True,md,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/nodes/evaluate/evaluate_user.md,True,md,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/nodes/generate.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/nodes/identity.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/nodes/prompt_templates.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/nodes/utils.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/optimizer/__init__.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/optimizer/base.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/optimizer/prompt_opt.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/optimizer/workflow_opt.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/sampler.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/tools/__init__.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/tools/python_repl.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/tools/web_search.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/utils.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/modules/workflow.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/optimized_agent.pkl,True,pkl,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/plots/test_corr.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/run_apo.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/run_evaluation.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/run_prompt_optimization.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
edu-data-synthesis-main/run_workflow_optimization.py,True,py,0,generation_script,False,False,False,False,False,False,False,False,False,False,True,NO_SCRIPT_OR_ARCHIVE,BLOCKED,"generation/config/archive artifact, not a normalized training source"
