comparison,left,right,metric,delta_mean,ci_low,ci_high,replicates,unit
C2_TACO_vs_C0_E4_baseline,C2_TACO,C0_E4_baseline,MAE,0.0012423826216918516,-0.016288132342046784,0.01921709612003252,5000,question_key
C2_TACO_vs_C0_E4_baseline,C2_TACO,C0_E4_baseline,QWK,-0.015514520746513091,-0.049731173541885526,0.018841483572719215,5000,question_key
C2_TACO_vs_C0_E4_baseline,C2_TACO,C0_E4_baseline,Exact_Match,0.0017674571640506908,-0.012439021175395009,0.015760084427767374,5000,question_key
C2_TACO_vs_C0_E4_baseline,C2_TACO,C0_E4_baseline,Kendall_tau,0.000731955005530086,-0.024994908728346844,0.025960523089657562,5000,question_key
C2_TACO_vs_C0_E4_baseline,C2_TACO,C0_E4_baseline,Signed_Bias,0.012145580971685157,-0.008363764078730233,0.03141084458279864,5000,question_key
C2_TACO_vs_C0_E4_baseline,C2_TACO,C0_E4_baseline,abs_Signed_Bias,0.012145580971685157,-0.008363764078730233,0.03141084458279864,5000,question_key
C2_TACO_vs_C0_E4_baseline,C2_TACO,C0_E4_baseline,Bin_Agreement,-0.008354843926191962,-0.0167186410947125,0.0,5000,question_key
C2_TACO_vs_C0_E4_baseline,C2_TACO,C0_E4_baseline,expected_score_MAE,0.004451285301697003,-0.005358459200519297,0.01468103440615227,5000,question_key
C2_TACO_vs_C0_E4_baseline,C2_TACO,C0_E4_baseline,human_CE,0.04542818279780403,0.016256440001995377,0.07658183824899774,5000,question_key
C2_TACO_vs_C0_E4_baseline,C2_TACO,C0_E4_baseline,human_Brier,0.004053267101879106,-0.004473062560113462,0.012650553103040578,5000,question_key
C2_TACO_vs_C0_E4_baseline,C2_TACO,C0_E4_baseline,human_RPS,0.00086192448822206,-0.0011241879427371301,0.0028631015635787026,5000,question_key
C2_TACO_vs_C0_E4_baseline,C2_TACO,C0_E4_baseline,low_to_high_rate,0.00029523365487900627,-0.06756756756756754,0.06850495984884258,5000,question_key
C2_TACO_vs_C0_E4_baseline,C2_TACO,C0_E4_baseline,high_to_low_rate,0.0004345665169283749,-0.0016856655510298537,0.002921658030943432,5000,question_key
C2_TACO_vs_C0_E4_baseline,C2_TACO,C0_E4_baseline,label1_recall,-0.04604141784869962,-0.22234848484848485,0.1111111111111111,5000,question_key
C2_TACO_vs_C0_E4_baseline,C2_TACO,C0_E4_baseline,label2_recall,0.0,0.0,0.0,5000,question_key
C2_TACO_vs_C0_E4_baseline,C2_TACO,C0_E4_baseline,label3_recall,-0.07184364347987687,-0.1262170971925274,-0.016877637130801676,5000,question_key
C2_TACO_vs_C0_E4_baseline,C2_TACO,C0_E4_baseline,label4_recall,0.007578605373686528,-0.018499486125385434,0.0337126261664445,5000,question_key
C2_TACO_vs_C0_E4_baseline,C2_TACO,C0_E4_baseline,label5_recall,0.011986684866132226,-0.008614655791271603,0.03166790919824395,5000,question_key
C2_TACO_vs_C1_balanced_plain_contrastive,C2_TACO,C1_balanced_plain_contrastive,MAE,0.012358960894839609,-0.002647578966844809,0.02794990694895581,5000,question_key
C2_TACO_vs_C1_balanced_plain_contrastive,C2_TACO,C1_balanced_plain_contrastive,QWK,-0.030379890683107327,-0.06279007044656512,0.0011760237523380992,5000,question_key
C2_TACO_vs_C1_balanced_plain_contrastive,C2_TACO,C1_balanced_plain_contrastive,Exact_Match,-0.007128561515530839,-0.019622827312431642,0.005628835340628738,5000,question_key
C2_TACO_vs_C1_balanced_plain_contrastive,C2_TACO,C1_balanced_plain_contrastive,Kendall_tau,-0.015014277328625203,-0.036878028011880414,0.00679268310432011,5000,question_key
C2_TACO_vs_C1_balanced_plain_contrastive,C2_TACO,C1_balanced_plain_contrastive,Signed_Bias,0.007110651979704613,-0.009831068318824653,0.023434784685252768,5000,question_key
C2_TACO_vs_C1_balanced_plain_contrastive,C2_TACO,C1_balanced_plain_contrastive,abs_Signed_Bias,0.007110651979704613,-0.009831068318824653,0.023434784685252768,5000,question_key
C2_TACO_vs_C1_balanced_plain_contrastive,C2_TACO,C1_balanced_plain_contrastive,Bin_Agreement,-0.006787875970081035,-0.013275177495878079,-0.00038588112993543467,5000,question_key
C2_TACO_vs_C1_balanced_plain_contrastive,C2_TACO,C1_balanced_plain_contrastive,expected_score_MAE,0.0033712450599067125,-0.004633914114091711,0.012025684948790971,5000,question_key
C2_TACO_vs_C1_balanced_plain_contrastive,C2_TACO,C1_balanced_plain_contrastive,human_CE,0.019272910541241833,-0.01131187900836573,0.051251112362604344,5000,question_key
C2_TACO_vs_C1_balanced_plain_contrastive,C2_TACO,C1_balanced_plain_contrastive,human_Brier,-0.003770526092872418,-0.01169597800154187,0.004062952860146011,5000,question_key
C2_TACO_vs_C1_balanced_plain_contrastive,C2_TACO,C1_balanced_plain_contrastive,human_RPS,0.00029038072434238335,-0.0012704149343851705,0.001960227875220322,5000,question_key
C2_TACO_vs_C1_balanced_plain_contrastive,C2_TACO,C1_balanced_plain_contrastive,low_to_high_rate,0.026456349814834294,-0.024103732001175503,0.08695652173913038,5000,question_key
C2_TACO_vs_C1_balanced_plain_contrastive,C2_TACO,C1_balanced_plain_contrastive,high_to_low_rate,0.000853704888411173,-0.0008561643835616438,0.0025907015521659817,5000,question_key
C2_TACO_vs_C1_balanced_plain_contrastive,C2_TACO,C1_balanced_plain_contrastive,label1_recall,-0.04135424589789196,-0.2,0.1111111111111111,5000,question_key
C2_TACO_vs_C1_balanced_plain_contrastive,C2_TACO,C1_balanced_plain_contrastive,label2_recall,0.0,0.0,0.0,5000,question_key
C2_TACO_vs_C1_balanced_plain_contrastive,C2_TACO,C1_balanced_plain_contrastive,label3_recall,-0.06396937856378274,-0.10546916205168777,-0.02723515326513726,5000,question_key
C2_TACO_vs_C1_balanced_plain_contrastive,C2_TACO,C1_balanced_plain_contrastive,label4_recall,3.85545413820634e-05,-0.02556237218813906,0.02577883145116149,5000,question_key
C2_TACO_vs_C1_balanced_plain_contrastive,C2_TACO,C1_balanced_plain_contrastive,label5_recall,-0.001483092165046038,-0.019369070707091443,0.015873876665633755,5000,question_key
C2_TACO_vs_C3_shuffled_margin_control,C2_TACO,C3_shuffled_margin_control,MAE,-0.009495712720929236,-0.02361610286519064,0.005343613503694348,5000,question_key
C2_TACO_vs_C3_shuffled_margin_control,C2_TACO,C3_shuffled_margin_control,QWK,0.009164010182964512,-0.02217482629255934,0.04100111473321139,5000,question_key
C2_TACO_vs_C3_shuffled_margin_control,C2_TACO,C3_shuffled_margin_control,Exact_Match,0.01066363760605111,-0.002451308929351583,0.02319291323537841,5000,question_key
C2_TACO_vs_C3_shuffled_margin_control,C2_TACO,C3_shuffled_margin_control,Kendall_tau,0.01259086955434251,-0.00997385154892064,0.034991010143882686,5000,question_key
C2_TACO_vs_C3_shuffled_margin_control,C2_TACO,C3_shuffled_margin_control,Signed_Bias,0.006520688331116962,-0.011070110701107,0.024720238330668238,5000,question_key
