comparison,left_variant,right_variant,metric,observed_delta,ci_lower,ci_upper,bootstrap_mean,resamples,unit
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,MAE,0.0008791760864104529,-0.01702019132345498,0.020171940343421596,0.0010450777348430058,5000,seed_x_question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,QWK,0.0069787086099331415,-0.03278524080986822,0.0412713580539152,0.006809735380807471,5000,seed_x_question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,Exact_Match,-0.0012559658377292078,-0.018402970228834425,0.013962327991554155,-0.0013782064387087888,5000,seed_x_question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,Kendall_tau,-0.0008644552907104234,-0.0323432118450345,0.027630492811343322,-0.0011183593781331862,5000,seed_x_question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,Signed_Bias,-0.006154232604873147,-0.02633303589018386,0.014248782285953453,-0.006097945769886871,5000,seed_x_question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,abs_Signed_Bias,-0.006154232604873147,-0.02633303589018386,0.014248782285953453,-0.006097945769886871,5000,seed_x_question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,expected_score_MAE,-0.009951941694786989,-0.023916231114235912,0.00429893252012579,-0.009827545780980487,5000,seed_x_question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,human_CE,0.015470918386352542,-0.012501618706032155,0.048053778037740684,0.015611870398091077,5000,seed_x_question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,human_Brier,-0.0004400265268526364,-0.01151883165173046,0.011070165683918292,-0.0003784587299963793,5000,seed_x_question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,human_RPS,-0.00047418023662487707,-0.002392177164717948,0.0015526915853236007,-0.00046245689051779897,5000,seed_x_question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,Bin_Agreement,-0.002135141924139624,-0.010098039076391742,0.006470254322340974,-0.002144138761989207,5000,seed_x_question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,low_to_high_rate,-0.06140350877192983,-0.12935469710272168,0.0,-0.061160105633627664,5000,seed_x_question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,high_to_low_rate,-0.0007162297665090962,-0.0040196968041742,0.0012987576170577029,-0.0007115846094347938,5000,seed_x_question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,label1_recall,0.013888888888888886,-0.044444444444444446,0.10666666666666667,0.015246098768566464,5000,seed_x_question_key
rubric_effect_with_soft,v11_soft_raw_rubric,v01_soft_no_rubric,label2_recall,0.0,0.0,0.0,0.0,5000,seed_x_question_key
