synthetic_id,target_label_5,language,metric_canonical,error_type,possible_label_too_low,possible_too_good_for_target,possible_error_type_mismatch,possible_format_only_failure,possible_artifact,possible_language_issue,possible_rubric_alignment_issue,needs_review,flag_reasons
syn_cdaf79084c7a0f1a,1,en,Reasoning Process Rigor,reasoning_gap,false,false,false,false,false,false,false,false,
syn_073f080987ab64fe,1,zh,Reasoning Process Rigor,overconfident_wrong,false,false,false,false,false,false,false,false,
syn_d792ed5f8efb6ea8,1,en,Reasoning Process Rigor,reasoning_gap,false,false,false,false,false,false,false,false,
syn_a776b8f509e6c239,1,zh,Reasoning Process Rigor,overconfident_wrong,false,false,false,false,false,false,false,false,
syn_5dc6c8dd418ddfa8,2,en,Reasoning Process Rigor,reasoning_gap,false,false,false,false,false,false,false,false,
syn_fbea43f99af20f1c,2,zh,Reasoning Process Rigor,overconfident_wrong,false,false,false,false,false,false,false,false,
syn_a9fabe58b42413ca,2,en,Reasoning Process Rigor,reasoning_gap,false,false,false,false,false,false,false,false,
syn_8e2bd5a30ecbe08f,3,zh,Reasoning Process Rigor,overconfident_wrong,false,false,false,false,false,false,false,false,
syn_0e265ba78949a6f9,2,en,Scenario Element Integration,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_f4e2aafef9cbd5eb,1,zh,Scenario Element Integration,instruction_violation,false,false,false,false,false,false,false,false,
syn_57f198a97c0291e2,1,en,Scenario Element Integration,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_920e17e7db56e1cd,1,zh,Scenario Element Integration,instruction_violation,false,false,false,false,false,false,false,false,
syn_db2c3665c2701f48,2,en,Scenario Element Integration,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_04500ba6aa432cc5,2,zh,Scenario Element Integration,instruction_violation,false,false,false,false,false,false,false,false,
syn_880d8a0283ad35a2,2,en,Scenario Element Integration,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_f6aa1ad7fcd811b9,3,zh,Scenario Element Integration,instruction_violation,false,false,false,false,false,false,false,false,
syn_47ae529de464a185,2,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,false,false,false,false,false,false,false,false,
syn_00da6f839dfb0de7,1,zh,"Personalization, Adaptation & Learning Support",rubric_violation,false,false,false,false,false,false,false,false,
syn_e7ae50ef755e55c9,1,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,false,false,false,false,false,false,false,false,
syn_af7996a071bf4b15,1,zh,"Personalization, Adaptation & Learning Support",scenario_mismatch,false,false,false,false,false,false,false,false,
syn_c8c307bb996ffe32,2,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,false,false,false,false,false,false,false,false,
syn_0a7492bf081b6d27,2,zh,"Personalization, Adaptation & Learning Support",rubric_violation,false,false,false,false,false,false,false,false,
syn_f14aa5019e1dfc84,2,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,false,false,false,false,false,false,false,false,
syn_6ecac000b63bd677,3,zh,"Personalization, Adaptation & Learning Support",rubric_violation,false,false,false,false,false,false,false,false,
syn_a6800b496cebf41c,2,en,Higher-Order Thinking & Skill Development,reasoning_gap,false,false,false,false,false,false,false,false,
syn_47af61777670fce4,1,zh,Higher-Order Thinking & Skill Development,superficial_fluency,false,false,false,false,false,false,false,false,
syn_914b7d75f45a1c1c,1,en,Higher-Order Thinking & Skill Development,reasoning_gap,false,false,false,false,false,false,false,false,
syn_7ffe1cedf9b1813c,1,zh,Higher-Order Thinking & Skill Development,superficial_fluency,false,false,false,false,false,false,false,false,
syn_5837603a133b05aa,2,en,Higher-Order Thinking & Skill Development,reasoning_gap,false,false,false,false,false,false,false,false,
syn_de784e86b8e6ca84,2,zh,Higher-Order Thinking & Skill Development,superficial_fluency,false,false,false,false,false,false,false,false,
syn_aada98c9562b9f14,2,en,Higher-Order Thinking & Skill Development,reasoning_gap,false,false,false,false,false,false,false,false,
syn_dd9d06726026262f,1,en,Error Identification & Correction Precision,factual_error,false,false,false,false,false,false,false,false,
syn_e4307bc922048a0e,1,zh,Error Identification & Correction Precision,reasoning_gap,false,false,false,false,false,false,false,false,
syn_2ffbb3f250a5d3f3,1,en,Error Identification & Correction Precision,factual_error,false,false,false,false,false,false,false,false,
syn_c4e5618b2463217b,2,zh,Error Identification & Correction Precision,reasoning_gap,false,false,false,false,false,false,false,false,
syn_c68870f6a0dea120,2,en,Error Identification & Correction Precision,factual_error,false,false,false,false,false,false,false,false,
syn_29aa177dc9510d2c,2,zh,Error Identification & Correction Precision,reasoning_gap,false,false,false,false,false,false,false,false,
syn_34df3738729dd7ae,2,en,Error Identification & Correction Precision,factual_error,false,false,false,false,false,false,false,false,
syn_143a982b06aae8c2,3,zh,Error Identification & Correction Precision,reasoning_gap,false,false,false,false,false,false,false,false,
syn_19182a8d6acc576d,1,en,Instruction Following & Task Completion,instruction_violation,false,false,false,false,false,false,false,false,
syn_d6a55739d0144b37,1,en,Instruction Following & Task Completion,instruction_violation,false,false,false,false,false,false,false,false,
syn_dac8f55e98bc7bf3,2,zh,Instruction Following & Task Completion,rubric_violation,false,false,false,false,false,false,false,false,
syn_c307d2558829752a,2,en,Instruction Following & Task Completion,instruction_violation,false,false,false,false,false,false,false,false,
syn_bf20a8ca78489d19,2,zh,Instruction Following & Task Completion,rubric_violation,false,false,false,false,false,false,false,false,
syn_9c77ea1a83bfc328,2,en,Instruction Following & Task Completion,instruction_violation,false,false,false,false,false,false,false,false,
syn_d8cdfb77f3898357,3,zh,Instruction Following & Task Completion,instruction_violation,false,false,false,false,false,false,false,false,
syn_c1fca5b92cf0bc21,1,en,Basic Factual Accuracy,factual_error,false,false,false,false,false,false,false,false,
syn_84a3f0d934ccc9bd,1,en,Basic Factual Accuracy,factual_error,false,false,false,false,false,false,false,false,
syn_c8086d89e3d91986,2,zh,Basic Factual Accuracy,overconfident_wrong,false,false,false,false,false,false,false,false,
syn_66d28e845b747946,2,en,Basic Factual Accuracy,factual_error,false,false,false,false,false,false,false,false,
syn_b4d2170e929f70c0,2,zh,Basic Factual Accuracy,overconfident_wrong,false,false,false,false,false,false,false,false,
syn_504611b977350699,3,zh,Basic Factual Accuracy,overconfident_wrong,false,false,false,false,false,false,false,false,
syn_afae2bcd82728031,1,en,Domain Knowledge Accuracy,factual_error,false,false,false,false,false,false,false,false,
syn_b21164107c163c3e,1,zh,Domain Knowledge Accuracy,factual_error,false,false,false,false,false,false,false,false,
syn_09253e14970139e6,1,en,Domain Knowledge Accuracy,factual_error,false,false,false,false,false,false,false,false,
syn_eab74509411ddb5f,2,zh,Domain Knowledge Accuracy,factual_error,false,false,false,false,false,false,false,false,
syn_0cefcfbf9c371f9f,2,en,Domain Knowledge Accuracy,factual_error,false,false,false,false,false,false,false,false,
syn_2e332d4542524c50,2,zh,Domain Knowledge Accuracy,factual_error,false,false,false,false,false,false,false,false,
syn_3187b2c67a067d7d,2,en,Domain Knowledge Accuracy,factual_error,false,false,false,false,false,false,false,false,
syn_bc3a83cb8d92dfc0,3,zh,Domain Knowledge Accuracy,factual_error,false,false,false,false,false,false,false,false,
syn_2b02067d6cd76e78,1,en,Role & Tone Consistency,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_1f3f4bf3d1e4288c,2,zh,Role & Tone Consistency,superficial_fluency,false,false,false,false,false,false,false,false,
syn_7e6b2147dbaab22d,1,en,Role & Tone Consistency,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_b2bf125c90b74cad,2,zh,Role & Tone Consistency,superficial_fluency,false,false,false,false,false,false,false,false,
syn_fb3da1fd660fa0d1,2,en,Role & Tone Consistency,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_c1f7b5b3307f6537,2,zh,Role & Tone Consistency,superficial_fluency,false,false,false,false,false,false,false,false,
syn_278f26f7426bc862,3,en,Role & Tone Consistency,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_28784ba134533fec,3,zh,Role & Tone Consistency,superficial_fluency,false,false,false,false,false,false,false,false,
syn_beedb805961c16f3,1,en,Content Relevance & Scope Control,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_8c48afe220a3da6a,1,zh,Content Relevance & Scope Control,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_942f8d9a1452adf5,2,zh,Content Relevance & Scope Control,scenario_mismatch,false,false,false,false,false,false,false,false,
