metric_canonical,language,target_label_5,target_count,error_types,notes
Basic Factual Accuracy,en,1,4,"[""factual_error"", ""overconfident_wrong"", ""reasoning_gap""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Basic Factual Accuracy,en,2,4,"[""factual_error"", ""overconfident_wrong"", ""reasoning_gap""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Basic Factual Accuracy,en,3,2,"[""factual_error"", ""overconfident_wrong"", ""reasoning_gap""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Basic Factual Accuracy,en,4,2,"[""high_quality_synthetic_placeholder""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Basic Factual Accuracy,en,5,2,"[""high_quality_synthetic_placeholder""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Basic Factual Accuracy,zh,1,4,"[""factual_error"", ""overconfident_wrong"", ""reasoning_gap""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Basic Factual Accuracy,zh,2,4,"[""factual_error"", ""overconfident_wrong"", ""reasoning_gap""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Basic Factual Accuracy,zh,3,2,"[""factual_error"", ""overconfident_wrong"", ""reasoning_gap""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Basic Factual Accuracy,zh,4,2,"[""high_quality_synthetic_placeholder""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Basic Factual Accuracy,zh,5,2,"[""high_quality_synthetic_placeholder""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
"Clarity, Simplicity & Inspiration",en,1,4,"[""superficial_fluency"", ""rubric_violation"", ""scenario_mismatch""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
"Clarity, Simplicity & Inspiration",en,2,4,"[""superficial_fluency"", ""rubric_violation"", ""scenario_mismatch""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
"Clarity, Simplicity & Inspiration",en,3,2,"[""superficial_fluency"", ""rubric_violation"", ""scenario_mismatch""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
"Clarity, Simplicity & Inspiration",en,4,2,"[""high_quality_synthetic_placeholder""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
"Clarity, Simplicity & Inspiration",en,5,2,"[""high_quality_synthetic_placeholder""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
"Clarity, Simplicity & Inspiration",zh,1,4,"[""superficial_fluency"", ""rubric_violation"", ""scenario_mismatch""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
"Clarity, Simplicity & Inspiration",zh,2,4,"[""superficial_fluency"", ""rubric_violation"", ""scenario_mismatch""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
"Clarity, Simplicity & Inspiration",zh,3,2,"[""superficial_fluency"", ""rubric_violation"", ""scenario_mismatch""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
"Clarity, Simplicity & Inspiration",zh,4,2,"[""high_quality_synthetic_placeholder""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
"Clarity, Simplicity & Inspiration",zh,5,2,"[""high_quality_synthetic_placeholder""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Content Relevance & Scope Control,en,1,4,"[""scenario_mismatch"", ""rubric_violation"", ""superficial_fluency""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Content Relevance & Scope Control,en,2,4,"[""scenario_mismatch"", ""rubric_violation"", ""superficial_fluency""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Content Relevance & Scope Control,en,3,2,"[""scenario_mismatch"", ""rubric_violation"", ""superficial_fluency""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Content Relevance & Scope Control,en,4,2,"[""high_quality_synthetic_placeholder""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Content Relevance & Scope Control,en,5,2,"[""high_quality_synthetic_placeholder""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Content Relevance & Scope Control,zh,1,4,"[""scenario_mismatch"", ""rubric_violation"", ""superficial_fluency""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Content Relevance & Scope Control,zh,2,4,"[""scenario_mismatch"", ""rubric_violation"", ""superficial_fluency""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Content Relevance & Scope Control,zh,3,2,"[""scenario_mismatch"", ""rubric_violation"", ""superficial_fluency""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Content Relevance & Scope Control,zh,4,2,"[""high_quality_synthetic_placeholder""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Content Relevance & Scope Control,zh,5,2,"[""high_quality_synthetic_placeholder""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Domain Knowledge Accuracy,en,1,4,"[""factual_error"", ""overconfident_wrong"", ""rubric_violation""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Domain Knowledge Accuracy,en,2,4,"[""factual_error"", ""overconfident_wrong"", ""rubric_violation""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Domain Knowledge Accuracy,en,3,2,"[""factual_error"", ""overconfident_wrong"", ""rubric_violation""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Domain Knowledge Accuracy,en,4,2,"[""high_quality_synthetic_placeholder""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Domain Knowledge Accuracy,en,5,2,"[""high_quality_synthetic_placeholder""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Domain Knowledge Accuracy,zh,1,4,"[""factual_error"", ""overconfident_wrong"", ""rubric_violation""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Domain Knowledge Accuracy,zh,2,4,"[""factual_error"", ""overconfident_wrong"", ""rubric_violation""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Domain Knowledge Accuracy,zh,3,2,"[""factual_error"", ""overconfident_wrong"", ""rubric_violation""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Domain Knowledge Accuracy,zh,4,2,"[""high_quality_synthetic_placeholder""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Domain Knowledge Accuracy,zh,5,2,"[""high_quality_synthetic_placeholder""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Error Identification & Correction Precision,en,1,4,"[""factual_error"", ""reasoning_gap"", ""overconfident_wrong""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Error Identification & Correction Precision,en,2,4,"[""factual_error"", ""reasoning_gap"", ""overconfident_wrong""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Error Identification & Correction Precision,en,3,2,"[""factual_error"", ""reasoning_gap"", ""overconfident_wrong""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Error Identification & Correction Precision,en,4,2,"[""high_quality_synthetic_placeholder""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Error Identification & Correction Precision,en,5,2,"[""high_quality_synthetic_placeholder""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
Error Identification & Correction Precision,zh,1,4,"[""factual_error"", ""reasoning_gap"", ""overconfident_wrong""]",Optional D1/D4 synthetic-only diagnostic matrix; not part of the first low-score augmentation generation.
