record_id,source_file,source_row_index,metric_canonical,scenario_canonical,subject_canonical,education_level_canonical,language,generator_model,human_1,human_2,human_3,human_1_raw,human_2_raw,human_3_raw,human_1_5,human_2_5,human_3_5,human_mean_raw,human_mean_5,label_5,original_is_test_set,triple_key,question_key,answer_key
22fc3538594bd7f6426d96df9de31645e099e5df,results_merge.jsonl,0,Instruction Following & Task Completion,Personalized Content Creation,Biology,Undergraduate,en,qwen2.5-14b-instruct,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.333333333333333,4.333333333333333,4,True,69d00d1873948150af68a3c6b327a157f727662f,002cfcd8c1ac3ea32c6f46646c8bc2e1059c0500,7a774213b9499f95e441d1dbda5452020197acf8
00f03652813873e800443b4e84091ed05063eb49,results_merge.jsonl,1,Scenario Element Integration,Personalized Content Creation,Biology,Undergraduate,en,qwen2.5-14b-instruct,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,True,bb73b30d72e7987f2e56fa3ed8dbe93c5bd36815,002cfcd8c1ac3ea32c6f46646c8bc2e1059c0500,7a774213b9499f95e441d1dbda5452020197acf8
51e5f21cbcf3748b0c03279f49b625af32cd9b0b,results_merge.jsonl,2,"Personalization, Adaptation & Learning Support",Personalized Content Creation,Biology,Undergraduate,en,qwen2.5-14b-instruct,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.6666666666666665,3.6666666666666665,4,False,5874fed0faa30bb56f38deea1e870042e0242177,002cfcd8c1ac3ea32c6f46646c8bc2e1059c0500,7a774213b9499f95e441d1dbda5452020197acf8
a946b20864b31d0ab6a9e953e7ef387da3543466,results_merge.jsonl,3,Instruction Following & Task Completion,Personalized Content Creation,Physics,High School,en,qwen2.5-14b-instruct,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.333333333333333,4.333333333333333,4,False,a2a484fb60caf881ac2f058b523a18cb8976fd9a,71e2133d3049be048126f45752ada952a3208a9f,31a8f94110f5ab73fbd5333a41d880483fc3f5dd
605a39edf2ab4a11d8237e2d71382f0ab7c40100,results_merge.jsonl,4,Scenario Element Integration,Personalized Content Creation,Physics,High School,en,qwen2.5-14b-instruct,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.333333333333333,4.333333333333333,4,False,9ab0edabc99c52b6012a0c4320b06750f09bd566,71e2133d3049be048126f45752ada952a3208a9f,31a8f94110f5ab73fbd5333a41d880483fc3f5dd
4abb5320624308bb074fe6932d7ef7c088b0dd41,results_merge.jsonl,5,"Personalization, Adaptation & Learning Support",Personalized Content Creation,Physics,High School,en,qwen2.5-14b-instruct,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.6666666666666665,3.6666666666666665,4,True,1a9b1be8ed4ba90cf6042e8afd441c519f669ff9,71e2133d3049be048126f45752ada952a3208a9f,31a8f94110f5ab73fbd5333a41d880483fc3f5dd
079d3cbeeacbfeccd949183b375b3198418e4959,results_merge.jsonl,6,Instruction Following & Task Completion,Personalized Content Creation,Applied Economics,PhD,en,qwen2.5-14b-instruct,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.333333333333333,4.333333333333333,4,False,10c4bff73f4837c31b0b456ec619865a43274d3d,8cdf1aba67fd11f6ef4d3de526d6c99b7ecebfd4,8ae93686b2482c20f28d9de6ef912716d42429e4
ad2ae52c3ad75dc2ec01f807575b120f0db739c4,results_merge.jsonl,7,Scenario Element Integration,Personalized Content Creation,Applied Economics,PhD,en,qwen2.5-14b-instruct,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.333333333333333,4.333333333333333,4,False,48d6b9070229998c14c6485579eba62de89822e0,8cdf1aba67fd11f6ef4d3de526d6c99b7ecebfd4,8ae93686b2482c20f28d9de6ef912716d42429e4
149f9441c4d8d11ab5ae76d131041560ce986240,results_merge.jsonl,8,"Personalization, Adaptation & Learning Support",Personalized Content Creation,Applied Economics,PhD,en,qwen2.5-14b-instruct,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.333333333333333,4.333333333333333,4,False,94289b746e8a20b56adad4f7b10eca05a8f10e0a,8cdf1aba67fd11f6ef4d3de526d6c99b7ecebfd4,8ae93686b2482c20f28d9de6ef912716d42429e4
696ba193025f25d05c1b1f8dfad77c2ca28f12c4,results_merge.jsonl,9,Instruction Following & Task Completion,Personalized Content Creation,Applied Economics,PhD,en,qwen2.5-7b-instruct,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.666666666666667,4.666666666666667,5,False,f1298fb438099866abdf6806ffc1b5f874f51b41,8cdf1aba67fd11f6ef4d3de526d6c99b7ecebfd4,88e5964d55b88319db879945c12498d744d4f471
e78781ba44e7ccd99d93c2d2256495034a753f86,results_merge.jsonl,10,Scenario Element Integration,Personalized Content Creation,Applied Economics,PhD,en,qwen2.5-7b-instruct,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.6666666666666665,3.6666666666666665,4,True,c11374fe925ff1050d575cbebca77b46dc1d0cb8,8cdf1aba67fd11f6ef4d3de526d6c99b7ecebfd4,88e5964d55b88319db879945c12498d744d4f471
579c7161d23186114c709867acce054ec73e0531,results_merge.jsonl,11,"Personalization, Adaptation & Learning Support",Personalized Content Creation,Applied Economics,PhD,en,qwen2.5-7b-instruct,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.333333333333333,4.333333333333333,4,False,0faddac1eecbc61cd9a844e509d92e1b15a1c7b0,8cdf1aba67fd11f6ef4d3de526d6c99b7ecebfd4,88e5964d55b88319db879945c12498d744d4f471
f2dd13eea21d86717259e3f2ae658125c15e93a5,results_merge.jsonl,12,Instruction Following & Task Completion,Personalized Content Creation,Physics,High School,en,qwen2.5-7b-instruct,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.666666666666667,4.666666666666667,5,False,e3198f91dce20e7d809374a96e36733abb6d46bd,71e2133d3049be048126f45752ada952a3208a9f,229ef0b8f6e008eeb9410eab36656b73fd747eb7
24b68778c68222dd38199329a102b2c36aaca014,results_merge.jsonl,13,Scenario Element Integration,Personalized Content Creation,Physics,High School,en,qwen2.5-7b-instruct,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.666666666666667,4.666666666666667,5,True,d37adfae8eb1b8c5139f4773c10a53869776f0e2,71e2133d3049be048126f45752ada952a3208a9f,229ef0b8f6e008eeb9410eab36656b73fd747eb7
7073c82cd9bf9cb523e855ec7578c31a064b29db,results_merge.jsonl,14,"Personalization, Adaptation & Learning Support",Personalized Content Creation,Physics,High School,en,qwen2.5-7b-instruct,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.666666666666667,4.666666666666667,5,False,580fd6dcbdd1b124d4dea1564d1b1d8329450ef8,71e2133d3049be048126f45752ada952a3208a9f,229ef0b8f6e008eeb9410eab36656b73fd747eb7
51b966d61a762bbb396c629686ef62b121525bae,results_merge.jsonl,15,Instruction Following & Task Completion,Personalized Content Creation,Geography,Elementary School,en,qwen2.5-14b-instruct,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.333333333333333,4.333333333333333,4,True,c85291d590dea1b9da283854454ac665b4db7ba4,35926f81037efd0b4c59ccf56bbc2c9f7d71e0e2,5924346be20f4abcab089626d53fcc1bdd09646c
595ad2f7159ac18f38534303b13a476abbbb4f51,results_merge.jsonl,16,Scenario Element Integration,Personalized Content Creation,Geography,Elementary School,en,qwen2.5-14b-instruct,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,False,662f73df91507fbf8e19ecb5701a65f4c4edbf84,35926f81037efd0b4c59ccf56bbc2c9f7d71e0e2,5924346be20f4abcab089626d53fcc1bdd09646c
