split_name,split,label_5,count,pct_within_split
paper_like_triple_seed42,train,5,1404,0.529013
paper_like_triple_seed42,train,4,912,0.343632
paper_like_triple_seed42,train,3,243,0.09156
paper_like_triple_seed42,train,2,54,0.020347
paper_like_triple_seed42,train,1,41,0.015448
paper_like_triple_seed42,dev,5,351,0.528614
paper_like_triple_seed42,dev,4,228,0.343373
paper_like_triple_seed42,dev,3,61,0.091867
paper_like_triple_seed42,dev,2,13,0.019578
paper_like_triple_seed42,dev,1,11,0.016566
paper_like_triple_seed42,test,5,1172,0.528404
paper_like_triple_seed42,test,4,763,0.344004
paper_like_triple_seed42,test,3,203,0.091524
paper_like_triple_seed42,test,2,46,0.020739
paper_like_triple_seed42,test,1,34,0.015329
question_seed42,train,5,1755,0.527661
question_seed42,train,4,1163,0.349669
question_seed42,train,3,297,0.089296
question_seed42,train,1,58,0.017438
question_seed42,train,2,53,0.015935
question_seed42,dev,5,556,0.502258
question_seed42,dev,4,389,0.3514
question_seed42,dev,3,105,0.094851
question_seed42,dev,2,38,0.034327
question_seed42,dev,1,19,0.017164
question_seed42,test,5,616,0.558477
question_seed42,test,4,351,0.318223
question_seed42,test,3,105,0.095195
question_seed42,test,2,22,0.019946
question_seed42,test,1,9,0.00816
