evaluator,split,gold_label,n,pred_1,pred_2,pred_3,pred_4,pred_5
Qwen3-4B-Instruct-direct,all_5536,1,86,0.03488372093023256,0.011627906976744186,0.08139534883720931,0.023255813953488372,0.8488372093023255
Qwen3-4B-Instruct-direct,all_5536,2,113,0.0,0.05309734513274336,0.19469026548672566,0.23008849557522124,0.5221238938053098
Qwen3-4B-Instruct-direct,all_5536,3,507,0.007889546351084813,0.007889546351084813,0.09467455621301775,0.1992110453648915,0.6903353057199211
Qwen3-4B-Instruct-direct,all_5536,4,1903,0.0031529164477141357,0.005254860746190226,0.039936941671045716,0.14608512874408827,0.8055701523909616
Qwen3-4B-Instruct-direct,all_5536,5,2927,0.01708233686368295,0.012982576016399043,0.01776563033823027,0.04270584215920738,0.9094636146224804
Qwen3-4B-Instruct-direct,train,1,58,0.05172413793103448,0.0,0.1206896551724138,0.034482758620689655,0.7931034482758621
Qwen3-4B-Instruct-direct,train,2,53,0.0,0.03773584905660377,0.22641509433962265,0.3018867924528302,0.4339622641509434
Qwen3-4B-Instruct-direct,train,3,297,0.003367003367003367,0.003367003367003367,0.1111111111111111,0.22895622895622897,0.6531986531986532
Qwen3-4B-Instruct-direct,train,4,1163,0.0017196904557179708,0.006878761822871883,0.046431642304385214,0.16251074806534824,0.7824591573516767
Qwen3-4B-Instruct-direct,train,5,1755,0.016524216524216526,0.017094017094017096,0.018803418803418803,0.046723646723646726,0.9008547008547009
Qwen3-4B-Instruct-direct,dev,1,19,0.0,0.05263157894736842,0.0,0.0,0.9473684210526315
Qwen3-4B-Instruct-direct,dev,2,38,0.0,0.10526315789473684,0.13157894736842105,0.10526315789473684,0.6578947368421053
Qwen3-4B-Instruct-direct,dev,3,105,0.02857142857142857,0.02857142857142857,0.009523809523809525,0.1619047619047619,0.7714285714285715
Qwen3-4B-Instruct-direct,dev,4,389,0.010282776349614395,0.005141388174807198,0.017994858611825194,0.12853470437017994,0.8380462724935732
Qwen3-4B-Instruct-direct,dev,5,556,0.03776978417266187,0.014388489208633094,0.017985611510791366,0.03776978417266187,0.8920863309352518
Qwen3-4B-Instruct-direct,test,1,9,0.0,0.0,0.0,0.0,1.0
Qwen3-4B-Instruct-direct,test,2,22,0.0,0.0,0.22727272727272727,0.2727272727272727,0.5
Qwen3-4B-Instruct-direct,test,3,105,0.0,0.0,0.13333333333333333,0.1523809523809524,0.7142857142857143
Qwen3-4B-Instruct-direct,test,4,351,0.0,0.0,0.042735042735042736,0.1111111111111111,0.8461538461538461
Qwen3-4B-Instruct-direct,test,5,616,0.0,0.0,0.01461038961038961,0.03571428571428571,0.9496753246753247
