synthetic_id,synthetic_plan_id,passed_filter,filter_reasons,filter_stage,filter_status,failure_reasons,label_plausibility_status,error_type_alignment_status,rubric_failure_visibility,too_good_for_target_label,artifact_phrase_status,manual_review_required,hardened_filter_reasons,notes
syn_cdaf79084c7a0f1a,b96_001,True,,batch96_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-6 batch96 hardened filter
syn_073f080987ab64fe,b96_002,True,,batch96_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-6 batch96 hardened filter
syn_d792ed5f8efb6ea8,b96_003,True,,batch96_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-6 batch96 hardened filter
syn_a776b8f509e6c239,b96_004,True,,batch96_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-6 batch96 hardened filter
syn_5dc6c8dd418ddfa8,b96_005,True,,batch96_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-6 batch96 hardened filter
syn_fbea43f99af20f1c,b96_006,True,,batch96_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-6 batch96 hardened filter
syn_a9fabe58b42413ca,b96_007,True,,batch96_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-6 batch96 hardened filter
syn_8e2bd5a30ecbe08f,b96_008,True,,batch96_required_plus_hardened_filters,pass,,pass,pass,boundary_or_visible,not_detected,pass,no,,Exp6-6 batch96 hardened filter
syn_0e265ba78949a6f9,b96_009,True,,batch96_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-6 batch96 hardened filter
syn_f4e2aafef9cbd5eb,b96_010,True,,batch96_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-6 batch96 hardened filter
syn_57f198a97c0291e2,b96_011,True,,batch96_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-6 batch96 hardened filter
syn_920e17e7db56e1cd,b96_012,True,,batch96_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-6 batch96 hardened filter
syn_db2c3665c2701f48,b96_013,True,,batch96_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-6 batch96 hardened filter
syn_04500ba6aa432cc5,b96_014,True,,batch96_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-6 batch96 hardened filter
syn_880d8a0283ad35a2,b96_015,True,,batch96_required_plus_hardened_filters,pass,,pass,pass,clear,not_detected,pass,no,,Exp6-6 batch96 hardened filter
