left_variant,right_variant,metric,observed_delta,ci_lower,ci_upper,resamples,unit
v3_rubric_bridge,v0h_human_soft,MAE,-0.014694800301431776,-0.03828511531124167,0.007713190589029674,5000,question_key
v3_rubric_bridge,v0h_human_soft,QWK,0.028139079511322884,-0.013917462404753075,0.07140885567175508,5000,question_key
v3_rubric_bridge,v0h_human_soft,Exact_Match,0.012434061793519136,-0.006413342449390133,0.031961828628395514,5000,question_key
v3_rubric_bridge,v0h_human_soft,Kendall_tau,0.03291766286905684,-0.004213046943140828,0.07017128818231853,5000,question_key
v3_rubric_bridge,v0h_human_soft,abs_Signed_Bias,0.007912584777694048,-0.022077743373857883,0.03814530786236362,5000,question_key
v3_rubric_bridge,v0h_human_soft,low_to_high_rate,-0.052631578947368474,-0.134335533869116,0.04211646136618127,5000,question_key
v3_rubric_bridge,v0h_human_soft,high_to_low_rate,-0.0008594757198109154,-0.004319841344756461,0.001799573493154483,5000,question_key
v3_rubric_bridge,v0h_human_soft,label2_recall,0.0,0.0,0.0,5000,question_key
v3_rubric_bridge,v0h_human_soft,label5_recall,0.03258508327299059,0.003581661891117527,0.06182134851723713,5000,question_key
v3_rubric_bridge,v1_raw_rubric,MAE,0.011303692539562926,-0.009313361008890412,0.03184997844324829,5000,question_key
v3_rubric_bridge,v1_raw_rubric,QWK,-0.02011611944100633,-0.0532259616164316,0.014276895177493344,5000,question_key
v3_rubric_bridge,v1_raw_rubric,Exact_Match,-0.009042954031650341,-0.026885844766135134,0.008892182289736983,5000,question_key
v3_rubric_bridge,v1_raw_rubric,Kendall_tau,-0.016896127828889995,-0.04952961617986681,0.016884547180321476,5000,question_key
v3_rubric_bridge,v1_raw_rubric,abs_Signed_Bias,0.010550113036925407,-0.017037798465649522,0.03811718239702632,5000,question_key
v3_rubric_bridge,v1_raw_rubric,low_to_high_rate,0.013157894736842035,-0.07999999999999996,0.12195121951219512,5000,question_key
v3_rubric_bridge,v1_raw_rubric,high_to_low_rate,-0.0004297378599054576,-0.0013198706776058734,0.0,5000,question_key
v3_rubric_bridge,v1_raw_rubric,label2_recall,0.0,0.0,0.0,5000,question_key
v3_rubric_bridge,v1_raw_rubric,label5_recall,0.0007241129616220032,-0.02785956149286995,0.029676321669434083,5000,question_key
v3_rubric_bridge,v2_deterministic_checklist,MAE,0.0022607385079125852,-0.016832820251635836,0.021324726291613715,5000,question_key
v3_rubric_bridge,v2_deterministic_checklist,QWK,0.002687519839650543,-0.027341492172513363,0.03293754626594606,5000,question_key
v3_rubric_bridge,v2_deterministic_checklist,Exact_Match,-0.0030143180105501877,-0.021342853617885883,0.01489231018484098,5000,question_key
v3_rubric_bridge,v2_deterministic_checklist,Kendall_tau,0.004507058779174233,-0.0264324337356599,0.03674319172254556,5000,question_key
v3_rubric_bridge,v2_deterministic_checklist,abs_Signed_Bias,0.015071590052750578,-0.010757613152012516,0.04084141302569136,5000,question_key
v3_rubric_bridge,v2_deterministic_checklist,low_to_high_rate,-0.013157894736842146,-0.0625,0.05084745762711862,5000,question_key
v3_rubric_bridge,v2_deterministic_checklist,high_to_low_rate,-0.0008594757198109154,-0.002180620913850203,0.0,5000,question_key
v3_rubric_bridge,v2_deterministic_checklist,label2_recall,0.0,0.0,0.0,5000,question_key
v3_rubric_bridge,v2_deterministic_checklist,label5_recall,0.01955104996379442,-0.009168358615336136,0.048524774878144994,5000,question_key
v3_rubric_bridge,v4_shuffled_compiled_rubric,MAE,-0.028259231348907288,-0.0471126099574847,-0.00874479778776355,5000,question_key
v3_rubric_bridge,v4_shuffled_compiled_rubric,QWK,0.04356869909127581,0.011168414821158532,0.07758677480709648,5000,question_key
v3_rubric_bridge,v4_shuffled_compiled_rubric,Exact_Match,0.02336096458176329,0.006252069028532129,0.040458176426664424,5000,question_key
v3_rubric_bridge,v4_shuffled_compiled_rubric,Kendall_tau,0.059691330184631464,0.02903174263072904,0.09134441056826523,5000,question_key
v3_rubric_bridge,v4_shuffled_compiled_rubric,abs_Signed_Bias,-0.01695553880934439,-0.041870366157413776,0.008463400173593292,5000,question_key
v3_rubric_bridge,v4_shuffled_compiled_rubric,low_to_high_rate,-0.03947368421052633,-0.11864406779661019,0.04413410886742739,5000,question_key
v3_rubric_bridge,v4_shuffled_compiled_rubric,high_to_low_rate,0.0004297378599054577,0.0,0.0013398838767306833,5000,question_key
v3_rubric_bridge,v4_shuffled_compiled_rubric,label2_recall,0.0,0.0,0.0,5000,question_key
v3_rubric_bridge,v4_shuffled_compiled_rubric,label5_recall,0.024619840695148443,-0.0013988228520249056,0.05101405807502799,5000,question_key
v3_rubric_bridge,v5_human_soft_logit_adjustment,MAE,-0.24642049736247174,-0.320303926298046,-0.18084565876284556,5000,question_key
v3_rubric_bridge,v5_human_soft_logit_adjustment,QWK,0.12495905908758442,0.05883398422449645,0.18959014628360504,5000,question_key
v3_rubric_bridge,v5_human_soft_logit_adjustment,Exact_Match,0.08100979653353424,0.05578194315228182,0.10530332331598304,5000,question_key
v3_rubric_bridge,v5_human_soft_logit_adjustment,Kendall_tau,0.09721768474387538,0.05721756307018489,0.13711683605621516,5000,question_key
v3_rubric_bridge,v5_human_soft_logit_adjustment,abs_Signed_Bias,-0.146948003014318,-0.2800190065561185,-0.011801021805237358,5000,question_key
v3_rubric_bridge,v5_human_soft_logit_adjustment,low_to_high_rate,0.2236842105263157,0.08535936689154122,0.39345504222553385,5000,question_key
v3_rubric_bridge,v5_human_soft_logit_adjustment,high_to_low_rate,-0.09110442629995702,-0.11949467375895108,-0.06555753110465168,5000,question_key
v3_rubric_bridge,v5_human_soft_logit_adjustment,label2_recall,-0.07692307692307693,-0.17647058823529413,-0.014705882352941176,5000,question_key
v3_rubric_bridge,v5_human_soft_logit_adjustment,label5_recall,0.14337436640115864,0.10684080950222385,0.1791743357706427,5000,question_key
